POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743114278.0428298,1743114264,5,N/A
N/A,LIC Trigger POST,1743114284.4864466,1743114271,5,N/A
N/A,LIC Trigger POST,1743114289.8908544,1743114276,5,N/A
N/A,LIC Trigger POST,1743114295.3336399,1743114282,5,N/A
N/A,LIC Trigger POST,1743114300.6031601,1743114287,5,N/A
N/A,LIC Trigger POST,1743114308.8375297,1743114295,5,N/A
N/A,LIC Trigger POST,1743114314.228419,1743114301,5,N/A
N/A,LIC Trigger POST,1743114319.503356,1743114306,5,N/A
LIC Robot V1.0,Robot POST,1743114330.3917794,1743114330,0,arrive
LIC Robot V1.0,Robot POST,1743114342.6834836,1743114343,0,depart
LIC Robot V1.0,Robot POST,1743114345.8008618,1743114346,1,arrive
LIC Robot V1.0,Robot POST,1743114358.8437421,1743114358,1,depart
LIC Robot V1.0,Robot POST,1743114361.8947036,1743114362,2,arrive
N/A,LIC Trigger POST,1743114362.2688255,1743114349,5,N/A
LIC Robot V1.0,Robot POST,1743114374.1796966,1743114374,2,depart
N/A,LIC Trigger POST,1743114376,1743114363,5,N/A
LIC Robot V1.0,Robot POST,1743114377.3014212,1743114378,3,arrive
LIC Robot V1.0,Robot POST,1743114389.351619,1743114390,3,depart
N/A,LIC Trigger POST,1743114391.8397257,1743114378,5,N/A
LIC Robot V1.0,Robot POST,1743114393.3716097,1743114394,4,arrive
LIC Robot V1.0,Robot POST,1743114405.6801565,1743114406,4,depart
N/A,LIC Trigger POST,1743114407.783285,1743114394,5,N/A
LIC Robot V1.0,Robot POST,1743114408.6564012,1743114409,5,arrive
LIC Robot V1.0,Robot POST,1743114420.7265482,1743114421,5,depart
N/A,LIC Trigger POST,1743114422.6387095,1743114409,5,N/A
LIC Robot V1.0,Robot POST,1743114424,1743114425,6,arrive
LIC Robot V1.0,Robot POST,1743114436.3979352,1743114437,6,depart
N/A,LIC Trigger POST,1743114438.2823205,1743114424,5,N/A
LIC Robot V1.0,Robot POST,1743114439.400872,1743114440,7,arrive
LIC Robot V1.0,Robot POST,1743114451.438226,1743114452,7,depart
LIC Robot V1.0,Robot POST,1743114454.4831016,1743114455,8,arrive
LIC Robot V1.0,Robot POST,1743114466.508411,1743114467,8,depart
LIC Robot V1.0,Robot POST,1743114469.6656258,1743114470,9,arrive
LIC Robot V1.0,Robot POST,1743114481.7136517,1743114482,9,depart
LIC Robot V1.0,Robot POST,1743114484.617862,1743114485,10,arrive
LIC Robot V1.0,Robot POST,1743114496.6487284,1743114497,10,depart
LIC Robot V1.0,Robot POST,1743114499.5195773,1743114500,R,arrive
LIC Robot V1.0,Robot POST,1743114515.8924253,1743114516,R,depart
LIC Robot V1.0,Robot POST,1743114521.4812665,1743114522,R,arrive
LIC Robot V1.0,Robot POST,1743114541.7556572,1743114542,R,depart
LIC Robot V1.0,Robot POST,1743114835.980394,1743114836,11,arrive
LIC Robot V1.0,Robot POST,1743114848.0245514,1743114848,11,depart
LIC Robot V1.0,Robot POST,1743114851.2272418,1743114852,12,arrive
