POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743115687.9865215,1743115673,5,N/A
N/A,LIC Trigger POST,1743115693.5126772,1743115678,5,N/A
N/A,LIC Trigger POST,1743115698.791296,1743115684,5,N/A
N/A,LIC Trigger POST,1743115704.1561239,1743115689,5,N/A
N/A,LIC Trigger POST,1743115709.5775414,1743115694,5,N/A
N/A,LIC Trigger POST,1743115714.8976257,1743115700,5,N/A
N/A,LIC Trigger POST,1743115720.2170877,1743115705,5,N/A
N/A,LIC Trigger POST,1743115726.6671362,1743115710,5,N/A
N/A,LIC Trigger POST,1743115732.104949,1743115717,5,N/A
N/A,LIC Trigger POST,1743115737.4325023,1743115722,5,N/A
N/A,LIC Trigger POST,1743115742.747235,1743115728,5,N/A
N/A,LIC Trigger POST,1743115750.0948093,1743115735,5,N/A
N/A,LIC Trigger POST,1743115755.375989,1743115740,5,N/A
N/A,LIC Trigger POST,1743115762.176874,1743115747,5,N/A
N/A,LIC Trigger POST,1743115777.2257624,1743115762,5,N/A
N/A,LIC Trigger POST,1743115782.5395803,1743115767,5,N/A
LIC Robot V1.0,Robot POST,1743115812.2743847,1743115813,1,arrive
LIC Robot V1.0,Robot POST,1743115824.3081303,1743115825,1,depart
LIC Robot V1.0,Robot POST,1743115828.3742864,1743115828,2,arrive
LIC Robot V1.0,Robot POST,1743115840.4106045,1743115841,2,depart
N/A,LIC Trigger POST,1743115842.804987,1743115827,5,N/A
LIC Robot V1.0,Robot POST,1743115843.525782,1743115844,3,arrive
LIC Robot V1.0,Robot POST,1743115855.5455365,1743115856,3,depart
N/A,LIC Trigger POST,1743115858.4703586,1743115843,5,N/A
LIC Robot V1.0,Robot POST,1743115858.6553714,1743115859,4,arrive
LIC Robot V1.0,Robot POST,1743115870.688427,1743115871,4,depart
N/A,LIC Trigger POST,1743115872.8556254,1743115858,5,N/A
LIC Robot V1.0,Robot POST,1743115873.6013503,1743115874,5,arrive
LIC Robot V1.0,Robot POST,1743115885.808601,1743115886,5,depart
N/A,LIC Trigger POST,1743115887.5463302,1743115872,5,N/A
LIC Robot V1.0,Robot POST,1743115889.1060348,1743115889,6,arrive
LIC Robot V1.0,Robot POST,1743115901.1364148,1743115901,6,depart
N/A,LIC Trigger POST,1743115903.704042,1743115888,5,N/A
LIC Robot V1.0,Robot POST,1743115904.4942622,1743115905,7,arrive
LIC Robot V1.0,Robot POST,1743115916.537222,1743115917,7,depart
N/A,LIC Trigger POST,1743115918.6395228,1743115903,5,N/A
LIC Robot V1.0,Robot POST,1743115919.500441,1743115920,8,arrive
LIC Robot V1.0,Robot POST,1743115931.8422673,1743115932,8,depart
LIC Robot V1.0,Robot POST,1743115934.9988792,1743115935,9,arrive
LIC Robot V1.0,Robot POST,1743115947.0865269,1743115947,9,depart
LIC Robot V1.0,Robot POST,1743115950.1191945,1743115950,10,arrive
LIC Robot V1.0,Robot POST,1743115962.1592956,1743115962,10,depart
LIC Robot V1.0,Robot POST,1743115964.9285736,1743115965,R,arrive
LIC Robot V1.0,Robot POST,1743115980.740042,1743115981,R,depart
LIC Robot V1.0,Robot POST,1743115986.3994884,1743115987,R,arrive
LIC Robot V1.0,Robot POST,1743116001.9557168,1743116002,R,depart
LIC Robot V1.0,Robot POST,1743116004.943521,1743116005,11,arrive
LIC Robot V1.0,Robot POST,1743116016.9744248,1743116017,11,depart
LIC Robot V1.0,Robot POST,1743116019.9912748,1743116020,12,arrive
LIC Robot V1.0,Robot POST,1743116032.0299318,1743116032,12,depart
N/A,LIC Trigger POST,1743116034.690111,1743116019,5,N/A
LIC Robot V1.0,Robot POST,1743116035.4076877,1743116035,13,arrive
LIC Robot V1.0,Robot POST,1743116047.462174,1743116048,13,depart
N/A,LIC Trigger POST,1743116049.631251,1743116034,5,N/A
LIC Robot V1.0,Robot POST,1743116050.3967333,1743116051,14,arrive
LIC Robot V1.0,Robot POST,1743116062.4285104,1743116063,14,depart
N/A,LIC Trigger POST,1743116064.6705744,1743116049,5,N/A
LIC Robot V1.0,Robot POST,1743116066.141206,1743116066,15,arrive
LIC Robot V1.0,Robot POST,1743116078.1829844,1743116079,15,depart
N/A,LIC Trigger POST,1743116081.0051317,1743116065,5,N/A
LIC Robot V1.0,Robot POST,1743116081.149915,1743116081,16,arrive
LIC Robot V1.0,Robot POST,1743116093.188853,1743116094,16,depart
N/A,LIC Trigger POST,1743116095.483001,1743116080,5,N/A
LIC Robot V1.0,Robot POST,1743116096.2012656,1743116097,17,arrive
LIC Robot V1.0,Robot POST,1743116108.2514195,1743116109,17,depart
N/A,LIC Trigger POST,1743116110.7258315,1743116095,5,N/A
LIC Robot V1.0,Robot POST,1743116111.252711,1743116112,18,arrive
LIC Robot V1.0,Robot POST,1743116123.2869074,1743116124,18,depart
LIC Robot V1.0,Robot POST,1743116126.2385316,1743116127,19,arrive
LIC Robot V1.0,Robot POST,1743116138.3295968,1743116139,19,depart
LIC Robot V1.0,Robot POST,1743116141.180033,1743116142,20,arrive
LIC Robot V1.0,Robot POST,1743116153.2055075,1743116154,20,depart
LIC Robot V1.0,Robot POST,1743116156.056287,1743116156,L,arrive
LIC Robot V1.0,Robot POST,1743116177.8296602,1743116178,L,depart
LIC Robot V1.0,Robot POST,1743116282.544892,1743116283,L,arrive
LIC Robot V1.0,Robot POST,1743116297.9139214,1743116298,L,depart
LIC Robot V1.0,Robot POST,1743116300.5738826,1743116301,21,arrive
LIC Robot V1.0,Robot POST,1743116312.618221,1743116313,21,depart
LIC Robot V1.0,Robot POST,1743116315.5997517,1743116316,22,arrive
LIC Robot V1.0,Robot POST,1743116327.6430876,1743116328,22,depart
LIC Robot V1.0,Robot POST,1743116330.5373914,1743116331,23,arrive
LIC Robot V1.0,Robot POST,1743116342.5748043,1743116343,23,depart
N/A,LIC Trigger POST,1743116345.0917358,1743116329,5,N/A
LIC Robot V1.0,Robot POST,1743116345.4891918,1743116346,24,arrive
LIC Robot V1.0,Robot POST,1743116357.8010566,1743116358,24,depart
N/A,LIC Trigger POST,1743116358.8695946,1743116343,5,N/A
LIC Robot V1.0,Robot POST,1743116360.8736215,1743116361,25,arrive
LIC Robot V1.0,Robot POST,1743116372.9126003,1743116373,25,depart
LIC Robot V1.0,Robot POST,1743116375.7993333,1743116376,26,arrive
LIC Robot V1.0,Robot POST,1743116388.0844665,1743116388,26,depart
N/A,LIC Trigger POST,1743116389.991345,1743116374,5,N/A
LIC Robot V1.0,Robot POST,1743116391.0505614,1743116391,27,arrive
LIC Robot V1.0,Robot POST,1743116403.1057684,1743116403,27,depart
LIC Robot V1.0,Robot POST,1743116406.1090817,1743116406,28,arrive
