POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
LIC Robot V1.0,Robot POST,1739924930.3313653,1739924915,0,arrive
LIC Robot V1.0,Robot POST,1739924936.6100614,1739924937,0,start_arm
LIC Robot V1.0,Robot POST,1739924952.1805003,1739924953,0,end_arm
LIC Robot V1.0,Robot POST,1739924958.4502294,1739924959,0,depart
LIC Robot V1.0,Robot POST,1739924961.8487356,1739924962,1,arrive
LIC Robot V1.0,Robot POST,1739924968.2469714,1739924968,1,start_arm
LIC Robot V1.0,Robot POST,1739924983.6981997,1739924984,1,end_arm
LIC Robot V1.0,Robot POST,1739924990.1036232,1739924990,1,depart
LIC Robot V1.0,Robot POST,1739924993.2688594,1739924993,2,arrive
LIC Robot V1.0,Robot POST,1739924999.554663,1739925000,2,start_arm
LIC Robot V1.0,Robot POST,1739925015.5297837,1739925016,2,end_arm
LIC Robot V1.0,Robot POST,1739925022.5439339,1739925022,2,depart
LIC Robot V1.0,Robot POST,1739925025.978177,1739925026,3,arrive
LIC Robot V1.0,Robot POST,1739925033.0980968,1739925032,3,start_arm
LIC Robot V1.0,Robot POST,1739925048.7230308,1739925049,3,end_arm
LIC Robot V1.0,Robot POST,1739925055.1422448,1739925055,3,depart
LIC Robot V1.0,Robot POST,1739925058.4448466,1739925059,4,arrive
LIC Robot V1.0,Robot POST,1739925064.5231833,1739925065,4,start_arm
N/A,LIC Trigger POST,1739925065.889028,1739925055.56,2,N/A,
LIC Robot V1.0,Robot POST,1739925079.9536133,1739925080,4,end_arm
LIC Robot V1.0,Robot POST,1739925086.2447245,1739925086,4,depart
LIC Robot V1.0,Robot POST,1739925089.225771,1739925090,5,arrive
LIC Robot V1.0,Robot POST,1739925095.4016376,1739925096,5,start_arm
N/A,LIC Trigger POST,1739925104.9846077,1739925094.5,2,N/A,
LIC Robot V1.0,Robot POST,1739925111.0554764,1739925111,5,end_arm
LIC Robot V1.0,Robot POST,1739925117.5546386,1739925118,5,depart
N/A,LIC Trigger POST,1739925119.3631144,1739925109.19,2,N/A,
LIC Robot V1.0,Robot POST,1739925120.5563815,1739925121,6,arrive
LIC Robot V1.0,Robot POST,1739925127.0505161,1739925127,6,start_arm
N/A,LIC Trigger POST,1739925127.9858289,1739925117.87,2,N/A,
N/A,LIC Trigger POST,1739925133.9219444,1739925123.65,2,N/A,
LIC Robot V1.0,Robot POST,1739925142.3768246,1739925143,6,end_arm
LIC Robot V1.0,Robot POST,1739925148.4442308,1739925149,6,depart
LIC Robot V1.0,Robot POST,1739925151.7679052,1739925152,7,arrive
LIC Robot V1.0,Robot POST,1739925157.8236969,1739925158,7,start_arm
LIC Robot V1.0,Robot POST,1739925173.6781044,1739925174,7,end_arm
LIC Robot V1.0,Robot POST,1739925180.5993743,1739925180,7,depart
N/A,LIC Trigger POST,1739925183.2525833,1739925172.92,2,N/A,
LIC Robot V1.0,Robot POST,1739925184.322567,1739925184,8,arrive
LIC Robot V1.0,Robot POST,1739925191.145781,1739925191,8,start_arm
N/A,LIC Trigger POST,1739925192.2059593,1739925182.02,2,N/A,
N/A,LIC Trigger POST,1739925198.0600023,1739925187.48,2,N/A,
