POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
LIC Robot V1.0,Robot POST,1743705429.7296145,1743705430,0,arrive
LIC Robot V1.0,Robot POST,1743705442.131616,1743705442,0,depart
LIC Robot V1.0,Robot POST,1743705445.1943545,1743705446,1,arrive
LIC Robot V1.0,Robot POST,1743705457.602088,1743705458,1,depart
LIC Robot V1.0,Robot POST,1743705461.1630259,1743705462,2,arrive
LIC Robot V1.0,Robot POST,1743705473.4791296,1743705474,2,depart
LIC Robot V1.0,Robot POST,1743705476.946005,1743705478,3,arrive
LIC Robot V1.0,Robot POST,1743705489.4446442,1743705490,3,depart
LIC Robot V1.0,Robot POST,1743705493.1389184,1743705493,4,arrive
LIC Robot V1.0,Robot POST,1743705506.0079618,1743705506,4,depart
N/A,LIC Trigger POST,1743705507.1343083,1743705503,2,N/A
LIC Robot V1.0,Robot POST,1743705508.9919238,1743705510,5,arrive
N/A,LIC Trigger POST,1743705512.4597476,1743705508,2,N/A
LIC Robot V1.0,Robot POST,1743705521.0851376,1743705522,5,depart
N/A,LIC Trigger POST,1743705522.2875736,1743705518,2,N/A
LIC Robot V1.0,Robot POST,1743705524.780931,1743705525,6,arrive
N/A,LIC Trigger POST,1743705527.7109697,1743705523,2,N/A
LIC Robot V1.0,Robot POST,1743705537.9941864,1743705538,6,depart
N/A,LIC Trigger POST,1743705539.694876,1743705535,2,N/A
LIC Robot V1.0,Robot POST,1743705541.4782078,1743705542,7,arrive
LIC Robot V1.0,Robot POST,1743705554.2739763,1743705554,7,depart
LIC Robot V1.0,Robot POST,1743705557.336979,1743705558,8,arrive
LIC Robot V1.0,Robot POST,1743705570.5546024,1743705571,8,depart
LIC Robot V1.0,Robot POST,1743705573.913085,1743705574,9,arrive
LIC Robot V1.0,Robot POST,1743705586.632466,1743705587,9,depart
LIC Robot V1.0,Robot POST,1743705590.0957298,1743705591,10,arrive
LIC Robot V1.0,Robot POST,1743705602.1992655,1743705603,10,depart
LIC Robot V1.0,Robot POST,1743705605.2634826,1743705606,R,arrive
LIC Robot V1.0,Robot POST,1743705620.8226907,1743705621,R,depart
LIC Robot V1.0,Robot POST,1743705626.772823,1743705627,R,arrive
LIC Robot V1.0,Robot POST,1743705642.4289637,1743705643,R,depart
LIC Robot V1.0,Robot POST,1743705645.584998,1743705646,11,arrive
LIC Robot V1.0,Robot POST,1743705657.8005707,1743705658,11,depart
LIC Robot V1.0,Robot POST,1743705661.148306,1743705662,12,arrive
LIC Robot V1.0,Robot POST,1743705673.3668883,1743705674,12,depart
LIC Robot V1.0,Robot POST,1743705677.0363238,1743705678,13,arrive
LIC Robot V1.0,Robot POST,1743705689.1325088,1743705690,13,depart
N/A,LIC Trigger POST,1743705690.8510478,1743705686,2,N/A
LIC Robot V1.0,Robot POST,1743705692.3052957,1743705693,14,arrive
LIC Robot V1.0,Robot POST,1743705705.6161296,1743705706,14,depart
N/A,LIC Trigger POST,1743705706.7101927,1743705702,2,N/A
LIC Robot V1.0,Robot POST,1743705708.694196,1743705709,15,arrive
N/A,LIC Trigger POST,1743705712.3555052,1743705708,2,N/A
LIC Robot V1.0,Robot POST,1743705721.0867257,1743705721,15,depart
N/A,LIC Trigger POST,1743705722.2878976,1743705718,2,N/A
LIC Robot V1.0,Robot POST,1743705724.4641893,1743705725,16,arrive
N/A,LIC Trigger POST,1743705727.7257571,1743705723,2,N/A
LIC Robot V1.0,Robot POST,1743705737.0666814,1743705737,16,depart
LIC Robot V1.0,Robot POST,1743705740.4294076,1743705741,17,arrive
LIC Robot V1.0,Robot POST,1743705753.3448157,1743705753,17,depart
LIC Robot V1.0,Robot POST,1743705757.0283525,1743705757,18,arrive
LIC Robot V1.0,Robot POST,1743705770.138674,1743705771,18,depart
LIC Robot V1.0,Robot POST,1743705773,1743705774,19,arrive
LIC Robot V1.0,Robot POST,1743705785.2883387,1743705786,19,depart
LIC Robot V1.0,Robot POST,1743705788.3618295,1743705789,20,arrive
LIC Robot V1.0,Robot POST,1743705801.270052,1743705801,20,depart
LIC Robot V1.0,Robot POST,1743705804.2184706,1743705805,L,arrive
LIC Robot V1.0,Robot POST,1743705820.3216136,1743705821,L,depart
LIC Robot V1.0,Robot POST,1743705825.5251052,1743705826,L,arrive
LIC Robot V1.0,Robot POST,1743705840.8666277,1743705841,L,depart
LIC Robot V1.0,Robot POST,1743705843.5538547,1743705844,21,arrive
LIC Robot V1.0,Robot POST,1743705856.2604492,1743705856,21,depart
LIC Robot V1.0,Robot POST,1743705859.6160436,1743705860,22,arrive
LIC Robot V1.0,Robot POST,1743705871.6937332,1743705872,22,depart
N/A,LIC Trigger POST,1743705873.3508184,1743705869,2,N/A
LIC Robot V1.0,Robot POST,1743705874.6701674,1743705875,23,arrive
LIC Robot V1.0,Robot POST,1743705887.0698483,1743705887,23,depart
N/A,LIC Trigger POST,1743705889.1176226,1743705884,2,N/A
LIC Robot V1.0,Robot POST,1743705890.9450731,1743705891,24,arrive
LIC Robot V1.0,Robot POST,1743705903.1473277,1743705904,24,depart
N/A,LIC Trigger POST,1743705904.5695376,1743705900,2,N/A
LIC Robot V1.0,Robot POST,1743705906.1016917,1743705907,25,arrive
LIC Robot V1.0,Robot POST,1743705918.3044946,1743705919,25,depart
N/A,LIC Trigger POST,1743705920.3511715,1743705915,2,N/A
LIC Robot V1.0,Robot POST,1743705922.3032892,1743705922,26,arrive
LIC Robot V1.0,Robot POST,1743705935.209505,1743705936,26,depart
LIC Robot V1.0,Robot POST,1743705938.588863,1743705939,27,arrive
LIC Robot V1.0,Robot POST,1743705951.178833,1743705951,27,depart
LIC Robot V1.0,Robot POST,1743705954.235937,1743705955,28,arrive
LIC Robot V1.0,Robot POST,1743705966.847911,1743705967,28,depart
LIC Robot V1.0,Robot POST,1743705971.1488407,1743705971,29,arrive
LIC Robot V1.0,Robot POST,1743705983.7465441,1743705984,29,depart
LIC Robot V1.0,Robot POST,1743705987.1238928,1743705987,30,arrive
LIC Robot V1.0,Robot POST,1743706000,1743706000,30,depart
LIC Robot V1.0,Robot POST,1743706002.7788885,1743706003,R,arrive
LIC Robot V1.0,Robot POST,1743706018.334628,1743706019,R,depart
LIC Robot V1.0,Robot POST,1743706024.1994858,1743706024,R,arrive
LIC Robot V1.0,Robot POST,1743706040.2756753,1743706041,R,depart
LIC Robot V1.0,Robot POST,1743706043.246901,1743706044,31,arrive
LIC Robot V1.0,Robot POST,1743706055.6397896,1743706056,31,depart
LIC Robot V1.0,Robot POST,1743706059.3248599,1743706060,32,arrive
LIC Robot V1.0,Robot POST,1743706072.6326094,1743706073,32,depart
LIC Robot V1.0,Robot POST,1743706075.5707886,1743706076,33,arrive
LIC Robot V1.0,Robot POST,1743706087.8886206,1743706088,33,depart
N/A,LIC Trigger POST,1743706089.4954226,1743706084,2,N/A
LIC Robot V1.0,Robot POST,1743706091.272575,1743706092,34,arrive
LIC Robot V1.0,Robot POST,1743706103.8670073,1743706104,34,depart
N/A,LIC Trigger POST,1743706106.0857086,1743706101,2,N/A
LIC Robot V1.0,Robot POST,1743706107.1311104,1743706107,35,arrive
LIC Robot V1.0,Robot POST,1743706119.2267072,1743706120,35,depart
N/A,LIC Trigger POST,1743706120.6326687,1743706115,2,N/A
LIC Robot V1.0,Robot POST,1743706122.5699866,1743706123,36,arrive
LIC Robot V1.0,Robot POST,1743706134.8934944,1743706135,36,depart
N/A,LIC Trigger POST,1743706136.1963618,1743706131,2,N/A
LIC Robot V1.0,Robot POST,1743706138.5822492,1743706139,37,arrive
LIC Robot V1.0,Robot POST,1743706151.1811957,1743706152,37,depart
LIC Robot V1.0,Robot POST,1743706154.3354745,1743706155,38,arrive
LIC Robot V1.0,Robot POST,1743706167.1493697,1743706167,38,depart
LIC Robot V1.0,Robot POST,1743706170.838253,1743706171,39,arrive
