POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743704041.2899168,1743704038.69,2,N/A,
N/A,LIC Trigger POST,1743704060.020694,1743704057.39,2,N/A,
N/A,LIC Trigger POST,1743704165.3658538,1743704162.57,2,N/A,
N/A,LIC Trigger POST,1743704173.5736191,1743704170.62,2,N/A,
N/A,LIC Trigger POST,1743704179.1025553,1743704176.16,2,N/A,
N/A,LIC Trigger POST,1743704191.5069802,1743704188.66,2,N/A,
N/A,LIC Trigger POST,1743704196.8368642,1743704194.07,2,N/A,
N/A,LIC Trigger POST,1743704202.3636527,1743704199.43,2,N/A,
LIC Robot V1.0,Robot POST,1743704217.6947758,1743704218,1,arrive
LIC Robot V1.0,Robot POST,1743704230.4285123,1743704230,1,depart
LIC Robot V1.0,Robot POST,1743704233.5907621,1743704234,2,arrive
LIC Robot V1.0,Robot POST,1743704245.8956246,1743704246,2,depart
LIC Robot V1.0,Robot POST,1743704249.241817,1743704250,3,arrive
LIC Robot V1.0,Robot POST,1743704261.874045,1743704262,3,depart
LIC Robot V1.0,Robot POST,1743704265.4453738,1743704266,4,arrive
LIC Robot V1.0,Robot POST,1743704277.7270343,1743704278,4,depart
N/A,LIC Trigger POST,1743704279.0384512,1743704276.17,2,N/A,
LIC Robot V1.0,Robot POST,1743704280.7938552,1743704281,5,arrive
N/A,LIC Trigger POST,1743704284.365936,1743704281.5,2,N/A,
LIC Robot V1.0,Robot POST,1743704292.9921694,1743704293,5,depart
N/A,LIC Trigger POST,1743704294.8125598,1743704291.77,2,N/A,
LIC Robot V1.0,Robot POST,1743704296.8716934,1743704297,6,arrive
N/A,LIC Trigger POST,1743704300.2415996,1743704297.31,2,N/A,
LIC Robot V1.0,Robot POST,1743704309.0686226,1743704309,6,depart
LIC Robot V1.0,Robot POST,1743704312.3396091,1743704313,7,arrive
LIC Robot V1.0,Robot POST,1743704324.5228539,1743704325,7,depart
N/A,LIC Trigger POST,1743704326.4594576,1743704323.45,2,N/A,
LIC Robot V1.0,Robot POST,1743704327.3895452,1743704328,8,arrive
LIC Robot V1.0,Robot POST,1743704339.5847473,1743704340,8,depart
LIC Robot V1.0,Robot POST,1743704342.8539612,1743704343,9,arrive
LIC Robot V1.0,Robot POST,1743704354.953145,1743704355,9,depart
LIC Robot V1.0,Robot POST,1743704358.9444206,1743704359,10,arrive
