POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor,,
LIC Robot V1.0,Robot POST,1739918489.992522,1739918490,0,arrive,,
LIC Robot V1.0,Robot POST,1739918496.0753465,1739918497,0,start_arm,,
LIC Robot V1.0,Robot POST,1739918511.8198981,1739918512,0,end_arm,,
LIC Robot V1.0,Robot POST,1739918517.994006,1739918518,0,depart,,
LIC Robot V1.0,Robot POST,1739918521.3022127,1739918521,1,arrive,,
LIC Robot V1.0,Robot POST,1739918527.4815533,1739918528,1,start_arm,,
LIC Robot V1.0,Robot POST,1739918542.8412673,1739918543,1,end_arm,,
LIC Robot V1.0,Robot POST,1739918549.0083373,1739918549,1,depart,,
LIC Robot V1.0,Robot POST,1739918552.0694816,1739918552,2,arrive,,
LIC Robot V1.0,Robot POST,1739918558.350182,1739918559,2,start_arm,,
LIC Robot V1.0,Robot POST,1739918574.0378928,1739918574,2,end_arm,,
LIC Robot V1.0,Robot POST,1739918580.2972414,1739918581,2,depart,,
LIC Robot V1.0,Robot POST,1739918583.2133348,1739918584,3,arrive,,
LIC Robot V1.0,Robot POST,1739918589.288712,1739918590,3,start_arm,,
LIC Robot V1.0,Robot POST,1739918604.6996307,1739918605,3,end_arm,,
LIC Robot V1.0,Robot POST,1739918611.0811882,1739918611,3,depart,,
LIC Robot V1.0,Robot POST,1739918614.1840534,1739918615,4,arrive,,
LIC Robot V1.0,Robot POST,1739918620.7721562,1739918621,4,start_arm,,
N/A,LIC Trigger POST,1739918625.1362715,1739918623,2,N/A,,
LIC Robot V1.0,Robot POST,1739918636.641619,1739918637,4,end_arm,,
LIC Robot V1.0,Robot POST,1739918643.023188,1739918643,4,depart,,
LIC Robot V1.0,Robot POST,1739918646.2356246,1739918647,5,arrive,,
LIC Robot V1.0,Robot POST,1739918652.513655,1739918653,5,start_arm,,
N/A,LIC Trigger POST,1739918661.3359108,1739918660,2,N/A,,
N/A,LIC Trigger POST,1739918667.1996624,1739918665,2,N/A,,
LIC Robot V1.0,Robot POST,1739918667.9690201,1739918668,5,end_arm,,
LIC Robot V1.0,Robot POST,1739918674.3343768,1739918675,5,depart,,
N/A,LIC Trigger POST,1739918676.4574513,1739918674,2,N/A,,
LIC Robot V1.0,Robot POST,1739918677.9592743,1739918678,6,arrive,,
LIC Robot V1.0,Robot POST,1739918684.1540084,1739918685,6,start_arm,,
N/A,LIC Trigger POST,1739918685.3510091,1739918683,2,N/A,,
N/A,LIC Trigger POST,1739918690.8815393,1739918689,2,N/A,,
LIC Robot V1.0,Robot POST,1739918699.5450094,1739918700,6,end_arm,,
LIC Robot V1.0,Robot POST,1739918705.7163231,1739918706,6,depart,,
LIC Robot V1.0,Robot POST,1739918708.8492415,1739918709,7,arrive,,
LIC Robot V1.0,Robot POST,1739918714.889062,1739918715,7,start_arm,,
LIC Robot V1.0,Robot POST,1739918731.2671244,1739918731,7,end_arm,,
LIC Robot V1.0,Robot POST,1739918737.9198163,1739918738,7,depart,,
LIC Robot V1.0,Robot POST,1739918741.0282223,1739918742,8,arrive,,
LIC Robot V1.0,Robot POST,1739918747.4978402,1739918748,8,start_arm,,
N/A,LIC Trigger POST,1739918752.2893715,1739918750,2,N/A,,
N/A,LIC Trigger POST,1739918759.428432,1739918757,2,N/A,,
LIC Robot V1.0,Robot POST,1739918763.1529644,1739918764,8,end_arm,,
LIC Robot V1.0,Robot POST,1739918769.2340024,1739918770,8,depart,,
LIC Robot V1.0,Robot POST,1739918772.635925,1739918773,9,arrive,,
LIC Robot V1.0,Robot POST,1739918779.025572,1739918779,9,start_arm,,
