POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1739920712.563538,1739920707.48,2,N/A,
N/A,LIC Trigger POST,1739920718.416754,1739920713.72,2,N/A,
N/A,LIC Trigger POST,1739920729.1732345,1739920724.63,2,N/A,
N/A,LIC Trigger POST,1739920735.2361908,1739920730.28,2,N/A,
N/A,LIC Trigger POST,1739920740.7450447,1739920736.2,2,N/A,
LIC Robot V1.0,Robot POST,1739920756.8563955,1739920757,0,arrive
LIC Robot V1.0,Robot POST,1739920762.935561,1739920763,0,start_arm
LIC Robot V1.0,Robot POST,1739920778.3737564,1739920779,0,end_arm
LIC Robot V1.0,Robot POST,1739920784.7659533,1739920785,0,depart
LIC Robot V1.0,Robot POST,1739920787.8644736,1739920788,1,arrive
LIC Robot V1.0,Robot POST,1739920794.244181,1739920794,1,start_arm
LIC Robot V1.0,Robot POST,1739920809.8445067,1739920810,1,end_arm
LIC Robot V1.0,Robot POST,1739920816.283274,1739920816,1,depart
LIC Robot V1.0,Robot POST,1739920819.1757884,1739920819,2,arrive
LIC Robot V1.0,Robot POST,1739920825.3434713,1739920826,2,start_arm
LIC Robot V1.0,Robot POST,1739920840.684036,1739920841,2,end_arm
LIC Robot V1.0,Robot POST,1739920846.7617733,1739920847,2,depart
LIC Robot V1.0,Robot POST,1739920849.8371048,1739920850,3,arrive
LIC Robot V1.0,Robot POST,1739920856.1887648,1739920856,3,start_arm
LIC Robot V1.0,Robot POST,1739920871.572963,1739920872,3,end_arm
LIC Robot V1.0,Robot POST,1739920877.74458,1739920878,3,depart
LIC Robot V1.0,Robot POST,1739920880.8088026,1739920881,4,arrive
LIC Robot V1.0,Robot POST,1739920886.9110956,1739920887,4,start_arm
N/A,LIC Trigger POST,1739920888.9092436,1739920883.81,2,N/A,
LIC Robot V1.0,Robot POST,1739920902.4874966,1739920903,4,end_arm
LIC Robot V1.0,Robot POST,1739920908.9199185,1739920909,4,depart
LIC Robot V1.0,Robot POST,1739920911.9339588,1739920912,5,arrive
N/A,LIC Trigger POST,1739920914.0527663,1739920909.13,2,N/A,
LIC Robot V1.0,Robot POST,1739920918.1000676,1739920918,5,start_arm
N/A,LIC Trigger POST,1739920927.0339215,1739920922.24,2,N/A,
N/A,LIC Trigger POST,1739920932.7968366,1739920927.88,2,N/A,
LIC Robot V1.0,Robot POST,1739920933.7466404,1739920934,5,end_arm
LIC Robot V1.0,Robot POST,1739920940.1442304,1739920940,5,depart
N/A,LIC Trigger POST,1739920941.8368042,1739920936.93,2,N/A,
LIC Robot V1.0,Robot POST,1739920943.3414292,1739920944,6,arrive
LIC Robot V1.0,Robot POST,1739920949.6261837,1739920950,6,start_arm
N/A,LIC Trigger POST,1739920950.9986587,1739920945.87,2,N/A,
N/A,LIC Trigger POST,1739920956.7567577,1739920951.8,2,N/A,
LIC Robot V1.0,Robot POST,1739920965.1110108,1739920965,6,end_arm
LIC Robot V1.0,Robot POST,1739920971.2436755,1739920972,6,depart
LIC Robot V1.0,Robot POST,1739920975.0757358,1739920974,7,arrive
