POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
LIC Robot V1.0,Robot POST,1739922947.8100214,1739922947,0,arrive
LIC Robot V1.0,Robot POST,1739922955.3272402,1739922956,0,start_arm
LIC Robot V1.0,Robot POST,1739922971.0238657,1739922971,0,end_arm
LIC Robot V1.0,Robot POST,1739922977.518859,1739922978,0,depart
LIC Robot V1.0,Robot POST,1739922981.032003,1739922981,1,arrive
LIC Robot V1.0,Robot POST,1739923013.404154,1739923013,1,end_arm
LIC Robot V1.0,Robot POST,1739923020.1144001,1739923020,1,depart
LIC Robot V1.0,Robot POST,1739923023.6312413,1739923024,2,arrive
LIC Robot V1.0,Robot POST,1739923029.7083044,1739923030,2,start_arm
LIC Robot V1.0,Robot POST,1739923045.0402956,1739923045,2,end_arm
LIC Robot V1.0,Robot POST,1739923051.1276252,1739923051,2,depart
LIC Robot V1.0,Robot POST,1739923054.2046275,1739923055,3,arrive
LIC Robot V1.0,Robot POST,1739923060.7979538,1739923061,3,start_arm
LIC Robot V1.0,Robot POST,1739923076.2414544,1739923077,3,end_arm
LIC Robot V1.0,Robot POST,1739923082.338567,1739923083,3,depart
LIC Robot V1.0,Robot POST,1739923085.3080444,1739923086,4,arrive
LIC Robot V1.0,Robot POST,1739923091.3675587,1739923092,4,start_arm
N/A,LIC Trigger POST,1739923094.2301223,1739923085.03,2,N/A,
LIC Robot V1.0,Robot POST,1739923107.119037,1739923107,4,end_arm
LIC Robot V1.0,Robot POST,1739923113.8292024,1739923114,4,depart
LIC Robot V1.0,Robot POST,1739923117.0423818,1739923117,5,arrive
LIC Robot V1.0,Robot POST,1739923123.323208,1739923124,5,start_arm
N/A,LIC Trigger POST,1739923132.8952265,1739923125.01,2,N/A,
LIC Robot V1.0,Robot POST,1739923138.8651075,1739923139,5,end_arm
LIC Robot V1.0,Robot POST,1739923145.2663777,1739923145,5,depart
N/A,LIC Trigger POST,1739923147.481187,1739923139.44,2,N/A,
LIC Robot V1.0,Robot POST,1739923148.3480015,1739923149,6,arrive
LIC Robot V1.0,Robot POST,1739923154.7176387,1739923155,6,start_arm
N/A,LIC Trigger POST,1739923156.8573232,1739923148.61,2,N/A,
N/A,LIC Trigger POST,1739923163.5659842,1739923155.72,2,N/A,
LIC Robot V1.0,Robot POST,1739923170.7017157,1739923171,6,end_arm
LIC Robot V1.0,Robot POST,1739923177.5099022,1739923177,6,depart
LIC Robot V1.0,Robot POST,1739923180.8140953,1739923181,7,arrive
LIC Robot V1.0,Robot POST,1739923187.6218739,1739923188,7,start_arm
LIC Robot V1.0,Robot POST,1739923203.6008608,1739923204,7,end_arm
LIC Robot V1.0,Robot POST,1739923210.0001767,1739923210,7,depart
N/A,LIC Trigger POST,1739923212.4465427,1739923204.88,2,N/A,
LIC Robot V1.0,Robot POST,1739923212.9910204,1739923213,8,arrive
LIC Robot V1.0,Robot POST,1739923219.2594075,1739923219,8,start_arm
N/A,LIC Trigger POST,1739923220.7432508,1739923212.93,2,N/A,
N/A,LIC Trigger POST,1739923226.7180455,1739923218.89,2,N/A,
N/A,LIC Trigger POST,1739923232.3731139,1739923224.82,2,N/A,
LIC Robot V1.0,Robot POST,1739923234.908747,1739923235,8,end_arm
LIC Robot V1.0,Robot POST,1739923241.7348971,1739923241,8,depart
N/A,LIC Trigger POST,1739923243.8637185,1739923236.15,2,N/A,
LIC Robot V1.0,Robot POST,1739923244.9321926,1739923245,9,arrive
LIC Robot V1.0,Robot POST,1739923251.214481,1739923251,9,start_arm
N/A,LIC Trigger POST,1739923253.0184064,1739923245.14,2,N/A,
N/A,LIC Trigger POST,1739923258.8787513,1739923251.1,2,N/A,
LIC Robot V1.0,Robot POST,1739923266.6603844,1739923267,9,end_arm
LIC Robot V1.0,Robot POST,1739923273.055616,1739923273,9,depart
LIC Robot V1.0,Robot POST,1739923276.1452324,1739923276,10,arrive
LIC Robot V1.0,Robot POST,1739923282.4283278,1739923283,10,start_arm
LIC Robot V1.0,Robot POST,1739923297.8620098,1739923298,10,end_arm
LIC Robot V1.0,Robot POST,1739923304.0335107,1739923304,10,depart
LIC Robot V1.0,Robot POST,1739923307.4442434,1739923307,R,arrive
LIC Robot V1.0,Robot POST,1739923323.0524075,1739923323,R,depart
LIC Robot V1.0,Robot POST,1739923328.7295866,1739923329,R,arrive
LIC Robot V1.0,Robot POST,1739923343.9546437,1739923344,R,depart
LIC Robot V1.0,Robot POST,1739923347.5930736,1739923348,11,arrive
LIC Robot V1.0,Robot POST,1739923353.9573195,1739923354,11,start_arm
LIC Robot V1.0,Robot POST,1739923369.4219687,1739923370,11,end_arm
LIC Robot V1.0,Robot POST,1739923375.7234273,1739923376,11,depart
LIC Robot V1.0,Robot POST,1739923378.5933409,1739923379,12,arrive
LIC Robot V1.0,Robot POST,1739923384.8668451,1739923385,12,start_arm
LIC Robot V1.0,Robot POST,1739923400.8321521,1739923401,12,end_arm
LIC Robot V1.0,Robot POST,1739923407.231933,1739923407,12,depart
LIC Robot V1.0,Robot POST,1739923410.3189845,1739923410,13,arrive
LIC Robot V1.0,Robot POST,1739923416.8139338,1739923417,13,start_arm
N/A,LIC Trigger POST,1739923418.6135943,1739923410.66,2,N/A,
LIC Robot V1.0,Robot POST,1739923432.2734811,1739923433,13,end_arm
LIC Robot V1.0,Robot POST,1739923438.3143592,1739923439,13,depart
N/A,LIC Trigger POST,1739923440.4551182,1739923432.46,2,N/A,
LIC Robot V1.0,Robot POST,1739923441.1242065,1739923441,14,arrive
LIC Robot V1.0,Robot POST,1739923447.8060162,1739923448,14,start_arm
N/A,LIC Trigger POST,1739923450.0304308,1739923441.55,2,N/A,
N/A,LIC Trigger POST,1739923455.736785,1739923447.76,2,N/A,
N/A,LIC Trigger POST,1739923461.3236837,1739923453.44,2,N/A,
LIC Robot V1.0,Robot POST,1739923464.1003015,1739923464,14,end_arm
LIC Robot V1.0,Robot POST,1739923470.8110023,1739923471,14,depart
N/A,LIC Trigger POST,1739923472.7226398,1739923464.8,2,N/A,
LIC Robot V1.0,Robot POST,1739923473.9983695,1739923474,15,arrive
LIC Robot V1.0,Robot POST,1739923480.7043931,1739923481,15,start_arm
N/A,LIC Trigger POST,1739923482.185854,1739923473.89,2,N/A,
N/A,LIC Trigger POST,1739923488.055522,1739923479.98,2,N/A,
LIC Robot V1.0,Robot POST,1739923496.6897545,1739923497,15,end_arm
LIC Robot V1.0,Robot POST,1739923503.2143528,1739923504,15,depart
N/A,LIC Trigger POST,1739923505.203202,1739923497.11,2,N/A,
LIC Robot V1.0,Robot POST,1739923506.0728757,1739923506,16,arrive
LIC Robot V1.0,Robot POST,1739923512.4652696,1739923513,16,start_arm
LIC Robot V1.0,Robot POST,1739923527.9905918,1739923528,16,end_arm
LIC Robot V1.0,Robot POST,1739923534.0687609,1739923534,16,depart
LIC Robot V1.0,Robot POST,1739923537.1555786,1739923537,17,arrive
LIC Robot V1.0,Robot POST,1739923543.3329158,1739923544,17,start_arm
LIC Robot V1.0,Robot POST,1739923558.9822075,1739923559,17,end_arm
LIC Robot V1.0,Robot POST,1739923565.6982048,1739923566,17,depart
LIC Robot V1.0,Robot POST,1739923569.195958,1739923569,18,arrive
LIC Robot V1.0,Robot POST,1739923577.1739829,1739923576,18,start_arm
LIC Robot V1.0,Robot POST,1739923592.7385247,1739923593,18,end_arm
LIC Robot V1.0,Robot POST,1739923599.2399228,1739923599,18,depart
LIC Robot V1.0,Robot POST,1739923602.5663767,1739923603,19,arrive
LIC Robot V1.0,Robot POST,1739923609.1452327,1739923609,19,start_arm
LIC Robot V1.0,Robot POST,1739923624.6919963,1739923625,19,end_arm
LIC Robot V1.0,Robot POST,1739923630.7784724,1739923631,19,depart
LIC Robot V1.0,Robot POST,1739923633.5312052,1739923634,20,arrive
LIC Robot V1.0,Robot POST,1739923639.7069366,1739923640,20,start_arm
LIC Robot V1.0,Robot POST,1739923655.4724927,1739923655,20,end_arm
LIC Robot V1.0,Robot POST,1739923661.647542,1739923662,20,depart
LIC Robot V1.0,Robot POST,1739923664.2089577,1739923665,L,arrive
LIC Robot V1.0,Robot POST,1739923679.867708,1739923680,L,depart
LIC Robot V1.0,Robot POST,1739923685.187518,1739923685,L,arrive
LIC Robot V1.0,Robot POST,1739923700.4332802,1739923701,L,depart
LIC Robot V1.0,Robot POST,1739923703.2746947,1739923704,21,arrive
LIC Robot V1.0,Robot POST,1739923709.3778396,1739923710,21,start_arm
LIC Robot V1.0,Robot POST,1739923724.7034009,1739923725,21,end_arm
LIC Robot V1.0,Robot POST,1739923731.081759,1739923731,21,depart
LIC Robot V1.0,Robot POST,1739923734.6977954,1739923735,22,arrive
LIC Robot V1.0,Robot POST,1739923741.5078382,1739923742,22,start_arm
LIC Robot V1.0,Robot POST,1739923757.597395,1739923757,22,end_arm
LIC Robot V1.0,Robot POST,1739923764.196435,1739923764,22,depart
N/A,LIC Trigger POST,1739923766.208721,1739923757.29,2,N/A,
LIC Robot V1.0,Robot POST,1739923767.274704,1739923768,23,arrive
N/A,LIC Trigger POST,1739923771.970453,1739923763.55,2,N/A,
LIC Robot V1.0,Robot POST,1739923774.1084197,1739923774,23,start_arm
N/A,LIC Trigger POST,1739923777.5035708,1739923769.11,2,N/A,
N/A,LIC Trigger POST,1739923783.3077145,1739923774.65,2,N/A,
N/A,LIC Trigger POST,1739923789.9670527,1739923780.44,2,N/A,
LIC Robot V1.0,Robot POST,1739923790.7357287,1739923790,23,end_arm
LIC Robot V1.0,Robot POST,1739923798.0040047,1739923797,23,depart
N/A,LIC Trigger POST,1739923800.305189,1739923791.68,2,N/A,
LIC Robot V1.0,Robot POST,1739923801.3594441,1739923802,24,arrive
LIC Robot V1.0,Robot POST,1739923807.7633247,1739923808,24,start_arm
N/A,LIC Trigger POST,1739923818.1961925,1739923808.58,2,N/A,
LIC Robot V1.0,Robot POST,1739923823.839957,1739923824,24,end_arm
N/A,LIC Trigger POST,1739923824.2685108,1739923815.4,2,N/A,
LIC Robot V1.0,Robot POST,1739923830.0643468,1739923830,24,depart
N/A,LIC Trigger POST,1739923832.4893916,1739923823.76,2,N/A,
LIC Robot V1.0,Robot POST,1739923833.0088081,1739923833,25,arrive
LIC Robot V1.0,Robot POST,1739923839.1771963,1739923839,25,start_arm
N/A,LIC Trigger POST,1739923849.7210722,1739923839.59,2,N/A,
LIC Robot V1.0,Robot POST,1739923855.6246674,1739923855,25,end_arm
N/A,LIC Trigger POST,1739923857.3754756,1739923847.02,2,N/A,
LIC Robot V1.0,Robot POST,1739923862.9125388,1739923862,25,depart
N/A,LIC Trigger POST,1739923865.6838193,1739923855.82,2,N/A,
LIC Robot V1.0,Robot POST,1739923866.4106429,1739923866,26,arrive
LIC Robot V1.0,Robot POST,1739923872.483242,1739923873,26,start_arm
N/A,LIC Trigger POST,1739923881.7741313,1739923873.22,2,N/A,
LIC Robot V1.0,Robot POST,1739923888.6822376,1739923888,26,end_arm
LIC Robot V1.0,Robot POST,1739923895.407022,1739923895,26,depart
LIC Robot V1.0,Robot POST,1739923898.717896,1739923899,27,arrive
LIC Robot V1.0,Robot POST,1739923904.902514,1739923905,27,start_arm
LIC Robot V1.0,Robot POST,1739923920.2841067,1739923921,27,end_arm
LIC Robot V1.0,Robot POST,1739923926.4068313,1739923927,27,depart
LIC Robot V1.0,Robot POST,1739923929.2737257,1739923930,28,arrive
LIC Robot V1.0,Robot POST,1739923935.3544245,1739923936,28,start_arm
N/A,LIC Trigger POST,1739923938.9641411,1739923928.01,2,N/A,
N/A,LIC Trigger POST,1739923947.2677162,1739923938.27,2,N/A,
LIC Robot V1.0,Robot POST,1739923951.4147964,1739923951,28,end_arm
LIC Robot V1.0,Robot POST,1739923958.3482876,1739923958,28,depart
N/A,LIC Trigger POST,1739923962.0628934,1739923952.14,2,N/A,
LIC Robot V1.0,Robot POST,1739923962.075152,1739923962,29,arrive
LIC Robot V1.0,Robot POST,1739923969.4118767,1739923969,29,start_arm
N/A,LIC Trigger POST,1739923974.096925,1739923964.99,2,N/A,
LIC Robot V1.0,Robot POST,1739923984.982315,1739923985,29,end_arm
LIC Robot V1.0,Robot POST,1739923991.463873,1739923991,29,depart
LIC Robot V1.0,Robot POST,1739923995.9410357,1739923995,30,arrive
LIC Robot V1.0,Robot POST,1739924002.3748143,1739924003,30,start_arm
LIC Robot V1.0,Robot POST,1739924018.2950037,1739924018,30,end_arm
LIC Robot V1.0,Robot POST,1739924025.4338531,1739924025,30,depart
LIC Robot V1.0,Robot POST,1739924029.1677926,1739924029,R,arrive
LIC Robot V1.0,Robot POST,1739924044.92192,1739924045,R,depart
LIC Robot V1.0,Robot POST,1739924050.2512925,1739924051,R,arrive
LIC Robot V1.0,Robot POST,1739924096.1879995,1739924096,31,end_arm
LIC Robot V1.0,Robot POST,1739924102.2775104,1739924103,31,depart
LIC Robot V1.0,Robot POST,1739924105.7934365,1739924106,32,arrive
LIC Robot V1.0,Robot POST,1739924112.0287054,1739924112,32,start_arm
LIC Robot V1.0,Robot POST,1739924127.4646518,1739924128,32,end_arm
LIC Robot V1.0,Robot POST,1739924133.7485323,1739924134,32,depart
LIC Robot V1.0,Robot POST,1739924136.5188007,1739924137,33,arrive
LIC Robot V1.0,Robot POST,1739924142.9865322,1739924143,33,start_arm
N/A,LIC Trigger POST,1739924144.9450324,1739924135.72,2,N/A,
N/A,LIC Trigger POST,1739924151.8434942,1739924141.93,2,N/A,
N/A,LIC Trigger POST,1739924158.1309109,1739924148.59,2,N/A,
LIC Robot V1.0,Robot POST,1739924161.8547368,1739924159,33,end_arm
LIC Robot V1.0,Robot POST,1739924168.1438947,1739924168,33,depart
N/A,LIC Trigger POST,1739924170.4842913,1739924160.92,2,N/A,
LIC Robot V1.0,Robot POST,1739924171.0309374,1739924171,34,arrive
LIC Robot V1.0,Robot POST,1739924177.0983553,1739924178,34,start_arm
LIC Robot V1.0,Robot POST,1739924192.514495,1739924193,34,end_arm
LIC Robot V1.0,Robot POST,1739924198.6059098,1739924199,34,depart
N/A,LIC Trigger POST,1739924201.5776722,1739924192.09,2,N/A,
LIC Robot V1.0,Robot POST,1739924201.5894144,1739924202,35,arrive
LIC Robot V1.0,Robot POST,1739924207.868622,1739924208,35,start_arm
N/A,LIC Trigger POST,1739924210.7023063,1739924200.65,2,N/A,
N/A,LIC Trigger POST,1739924217.7234042,1739924207.79,2,N/A,
LIC Robot V1.0,Robot POST,1739924224.2290452,1739924224,35,end_arm
N/A,LIC Trigger POST,1739924224.6121151,1739924214.55,2,N/A,
LIC Robot V1.0,Robot POST,1739924231.9292474,1739924231,35,depart
N/A,LIC Trigger POST,1739924234.8728786,1739924224.53,2,N/A,
LIC Robot V1.0,Robot POST,1739924236.194015,1739924236,36,arrive
N/A,LIC Trigger POST,1739924240.874462,1739924231.74,2,N/A,
LIC Robot V1.0,Robot POST,1739924243.116324,1739924243,36,start_arm
N/A,LIC Trigger POST,1739924247.371217,1739924237.59,2,N/A,
N/A,LIC Trigger POST,1739924253.3263116,1739924244.11,2,N/A,
N/A,LIC Trigger POST,1739924258.8732524,1739924249.83,2,N/A,
LIC Robot V1.0,Robot POST,1739924258.9706533,1739924259,36,end_arm
LIC Robot V1.0,Robot POST,1739924266.5434246,1739924266,36,depart
N/A,LIC Trigger POST,1739924269.3112528,1739924258.82,2,N/A,
LIC Robot V1.0,Robot POST,1739924270.5321085,1739924270,37,arrive
LIC Robot V1.0,Robot POST,1739924276.644599,1739924277,37,start_arm
LIC Robot V1.0,Robot POST,1739924292.2113419,1739924292,37,end_arm
LIC Robot V1.0,Robot POST,1739924299.0270984,1739924299,37,depart
LIC Robot V1.0,Robot POST,1739924302.7533278,1739924302,38,arrive
LIC Robot V1.0,Robot POST,1739924308.9135072,1739924309,38,start_arm
LIC Robot V1.0,Robot POST,1739924324.7952557,1739924325,38,end_arm
LIC Robot V1.0,Robot POST,1739924332.0365207,1739924331,38,depart
LIC Robot V1.0,Robot POST,1739924336.1767213,1739924336,39,arrive
LIC Robot V1.0,Robot POST,1739924342.3813481,1739924343,39,start_arm
LIC Robot V1.0,Robot POST,1739924374.41864,1739924375,39,depart
LIC Robot V1.0,Robot POST,1739924384.7530115,1739924377,40,arrive
LIC Robot V1.0,Robot POST,1739924390.8267457,1739924391,40,start_arm
LIC Robot V1.0,Robot POST,1739924406.2655425,1739924407,40,end_arm
LIC Robot V1.0,Robot POST,1739924412.4435103,1739924413,40,depart
LIC Robot V1.0,Robot POST,1739924415.121096,1739924415,L,arrive
LIC Robot V1.0,Robot POST,1739924430.335708,1739924431,L,depart
LIC Robot V1.0,Robot POST,1739924435.256867,1739924436,L,arrive
LIC Robot V1.0,Robot POST,1739924450.776391,1739924451,L,depart
LIC Robot V1.0,Robot POST,1739924454.9610586,1739924455,41,arrive
LIC Robot V1.0,Robot POST,1739924461.2216825,1739924461,41,start_arm
LIC Robot V1.0,Robot POST,1739924477.0869272,1739924477,41,end_arm
LIC Robot V1.0,Robot POST,1739924483.4770982,1739924484,41,depart
LIC Robot V1.0,Robot POST,1739924486.8779535,1739924487,42,arrive
LIC Robot V1.0,Robot POST,1739924493.274763,1739924494,42,start_arm
LIC Robot V1.0,Robot POST,1739924508.8213274,1739924509,42,end_arm
LIC Robot V1.0,Robot POST,1739924515.0628397,1739924515,42,depart
LIC Robot V1.0,Robot POST,1739924518.00204,1739924518,43,arrive
LIC Robot V1.0,Robot POST,1739924524.7852407,1739924524,43,start_arm
LIC Robot V1.0,Robot POST,1739924541.2889245,1739924541,43,end_arm
LIC Robot V1.0,Robot POST,1739924547.79993,1739924548,43,depart
N/A,LIC Trigger POST,1739924550.9971354,1739924541.18,2,N/A,
LIC Robot V1.0,Robot POST,1739924551.0011017,1739924551,44,arrive
LIC Robot V1.0,Robot POST,1739924558.0904047,1739924557,44,start_arm
N/A,LIC Trigger POST,1739924563.0289752,1739924553.5,2,N/A,
LIC Robot V1.0,Robot POST,1739924574.7464015,1739924575,44,end_arm
LIC Robot V1.0,Robot POST,1739924581.4424155,1739924581,44,depart
LIC Robot V1.0,Robot POST,1739924584.4101121,1739924585,45,arrive
LIC Robot V1.0,Robot POST,1739924590.7095048,1739924591,45,start_arm
N/A,LIC Trigger POST,1739924602.6379573,1739924592.97,2,N/A,
LIC Robot V1.0,Robot POST,1739924606.376501,1739924607,45,end_arm
LIC Robot V1.0,Robot POST,1739924612.7620397,1739924613,45,depart
N/A,LIC Trigger POST,1739924615.8436673,1739924605.95,2,N/A,
LIC Robot V1.0,Robot POST,1739924615.8755155,1739924616,46,arrive
LIC Robot V1.0,Robot POST,1739924622.3472576,1739924622,46,start_arm
LIC Robot V1.0,Robot POST,1739924637.997265,1739924638,46,end_arm
LIC Robot V1.0,Robot POST,1739924644.1161118,1739924645,46,depart
LIC Robot V1.0,Robot POST,1739924647.0621402,1739924647,47,arrive
LIC Robot V1.0,Robot POST,1739924653.3541179,1739924654,47,start_arm
LIC Robot V1.0,Robot POST,1739924669.0863342,1739924669,47,end_arm
LIC Robot V1.0,Robot POST,1739924675.1662238,1739924676,47,depart
LIC Robot V1.0,Robot POST,1739924678.2645755,1739924679,48,arrive
LIC Robot V1.0,Robot POST,1739924684.3436246,1739924685,48,start_arm
LIC Robot V1.0,Robot POST,1739924699.7752454,1739924700,48,end_arm
LIC Robot V1.0,Robot POST,1739924705.945234,1739924706,48,depart
LIC Robot V1.0,Robot POST,1739924719.5677714,1739924719,99,arrive
