POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743710076.301309,1743710073.24,3,N/A,
N/A,LIC Trigger POST,1743710082.9567065,1743710080.22,3,N/A,
N/A,LIC Trigger POST,1743710090.0303667,1743710087.24,3,N/A,
LIC Robot V1.0,Robot POST,1743710099.675904,1743710100,0,arrive
LIC Robot V1.0,Robot POST,1743710112.065759,1743710113,0,depart
LIC Robot V1.0,Robot POST,1743710115.434247,1743710116,1,arrive
LIC Robot V1.0,Robot POST,1743710127.628895,1743710128,1,depart
LIC Robot V1.0,Robot POST,1743710131.3266203,1743710131,2,arrive
LIC Robot V1.0,Robot POST,1743710143.9120429,1743710144,2,depart
LIC Robot V1.0,Robot POST,1743710147.0628915,1743710148,3,arrive
N/A,LIC Trigger POST,1743710149.5294504,1743710146.6,3,N/A,
LIC Robot V1.0,Robot POST,1743710159.5715227,1743710160,3,depart
N/A,LIC Trigger POST,1743710163.4702523,1743710160.61,3,N/A,
LIC Robot V1.0,Robot POST,1743710163.595546,1743710164,4,arrive
N/A,LIC Trigger POST,1743710170.525561,1743710167.58,3,N/A,
LIC Robot V1.0,Robot POST,1743710176.4669616,1743710177,4,depart
N/A,LIC Trigger POST,1743710177.6771333,1743710174.64,3,N/A,
LIC Robot V1.0,Robot POST,1743710179.5556827,1743710180,5,arrive
N/A,LIC Trigger POST,1743710184.549785,1743710181.61,3,N/A,
LIC Robot V1.0,Robot POST,1743710192.1530313,1743710192,5,depart
N/A,LIC Trigger POST,1743710194.98232,1743710192.09,3,N/A,
LIC Robot V1.0,Robot POST,1743710195.6172836,1743710196,6,arrive
LIC Robot V1.0,Robot POST,1743710207.8090825,1743710208,6,depart
N/A,LIC Trigger POST,1743710209.1193085,1743710206.06,3,N/A,
LIC Robot V1.0,Robot POST,1743710210.8882024,1743710211,7,arrive
LIC Robot V1.0,Robot POST,1743710223.5542653,1743710224,7,depart
LIC Robot V1.0,Robot POST,1743710226.7338636,1743710227,8,arrive
LIC Robot V1.0,Robot POST,1743710238.8468795,1743710239,8,depart
LIC Robot V1.0,Robot POST,1743710242.2289393,1743710243,9,arrive
LIC Robot V1.0,Robot POST,1743710254.8176143,1743710255,9,depart
LIC Robot V1.0,Robot POST,1743710258.0740733,1743710259,10,arrive
LIC Robot V1.0,Robot POST,1743710271.3851402,1743710271,10,depart
LIC Robot V1.0,Robot POST,1743710274.4531608,1743710275,R,arrive
LIC Robot V1.0,Robot POST,1743710290.1444361,1743710291,R,depart
LIC Robot V1.0,Robot POST,1743710296.2881877,1743710297,R,arrive
LIC Robot V1.0,Robot POST,1743710312.265839,1743710313,R,depart
LIC Robot V1.0,Robot POST,1743710315.4200704,1743710316,11,arrive
LIC Robot V1.0,Robot POST,1743710327.516445,1743710328,11,depart
LIC Robot V1.0,Robot POST,1743710330.4732022,1743710331,12,arrive
LIC Robot V1.0,Robot POST,1743710342.6669085,1743710343,12,depart
LIC Robot V1.0,Robot POST,1743710345.9555175,1743710346,13,arrive
LIC Robot V1.0,Robot POST,1743710358.3378463,1743710359,13,depart
LIC Robot V1.0,Robot POST,1743710361.1852527,1743710362,14,arrive
N/A,LIC Trigger POST,1743710363.1274328,1743710359.86,3,N/A,
N/A,LIC Trigger POST,1743710369.998854,1743710366.84,3,N/A,
LIC Robot V1.0,Robot POST,1743710373.3973124,1743710374,14,depart
LIC Robot V1.0,Robot POST,1743710376.7754805,1743710377,15,arrive
N/A,LIC Trigger POST,1743710377.1726024,1743710373.88,3,N/A,
N/A,LIC Trigger POST,1743710384.0239384,1743710380.84,3,N/A,
LIC Robot V1.0,Robot POST,1743710389.3665106,1743710390,15,depart
N/A,LIC Trigger POST,1743710390.9841847,1743710387.83,3,N/A,
LIC Robot V1.0,Robot POST,1743710392.6414738,1743710393,16,arrive
