POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
LIC Robot V1.0,Robot POST,1743711312.3174229,1743711313,0,arrive
LIC Robot V1.0,Robot POST,1743711324.5038404,1743711325,0,depart
LIC Robot V1.0,Robot POST,1743711327.8828692,1743711328,1,arrive
LIC Robot V1.0,Robot POST,1743711340.478223,1743711341,1,depart
LIC Robot V1.0,Robot POST,1743711343.6347277,1743711344,2,arrive
LIC Robot V1.0,Robot POST,1743711355.8333158,1743711356,2,depart
LIC Robot V1.0,Robot POST,1743711358.8992834,1743711359,3,arrive
N/A,LIC Trigger POST,1743711360.9556735,1743711359.63,3,N/A,
LIC Robot V1.0,Robot POST,1743711371.5081315,1743711372,3,depart
N/A,LIC Trigger POST,1743711374.8777382,1743711373.61,3,N/A,
LIC Robot V1.0,Robot POST,1743711374.893397,1743711375,4,arrive
LIC Robot V1.0,Robot POST,1743711387.7951405,1743711388,4,depart
LIC Robot V1.0,Robot POST,1743711391.47549,1743711392,5,arrive
N/A,LIC Trigger POST,1743711392.3825777,1743711391.07,3,N/A,
LIC Robot V1.0,Robot POST,1743711404.2693446,1743711404,5,depart
N/A,LIC Trigger POST,1743711406.4037488,1743711405.1,3,N/A,
LIC Robot V1.0,Robot POST,1743711407.2265832,1743711408,6,arrive
N/A,LIC Trigger POST,1743711413.377692,1743711412.06,3,N/A,
LIC Robot V1.0,Robot POST,1743711419.4375339,1743711420,6,depart
LIC Robot V1.0,Robot POST,1743711422.9083505,1743711424,7,arrive
N/A,LIC Trigger POST,1743711423.9091525,1743711422.58,3,N/A,
LIC Robot V1.0,Robot POST,1743711435.097072,1743711436,7,depart
LIC Robot V1.0,Robot POST,1743711438.359578,1743711439,8,arrive
LIC Robot V1.0,Robot POST,1743711450.456887,1743711451,8,depart
LIC Robot V1.0,Robot POST,1743711453.8445034,1743711454,9,arrive
LIC Robot V1.0,Robot POST,1743711466.4410112,1743711467,9,depart
LIC Robot V1.0,Robot POST,1743711469.803606,1743711470,10,arrive
LIC Robot V1.0,Robot POST,1743711482.4104133,1743711483,10,depart
LIC Robot V1.0,Robot POST,1743711486.1806633,1743711486,R,arrive
LIC Robot V1.0,Robot POST,1743711502.686967,1743711503,R,depart
LIC Robot V1.0,Robot POST,1743711508.8327327,1743711509,R,arrive
LIC Robot V1.0,Robot POST,1743711524.4811447,1743711525,R,depart
LIC Robot V1.0,Robot POST,1743711527.5732043,1743711528,11,arrive
LIC Robot V1.0,Robot POST,1743711540.7868042,1743711541,11,depart
LIC Robot V1.0,Robot POST,1743711544.1576433,1743711544,12,arrive
LIC Robot V1.0,Robot POST,1743711556.7639046,1743711557,12,depart
LIC Robot V1.0,Robot POST,1743711560.1263778,1743711561,13,arrive
LIC Robot V1.0,Robot POST,1743711572.4155335,1743711573,13,depart
LIC Robot V1.0,Robot POST,1743711575.582129,1743711576,14,arrive
N/A,LIC Trigger POST,1743711578.0222597,1743711576.37,3,N/A,
N/A,LIC Trigger POST,1743711584.9894783,1743711583.39,3,N/A,
LIC Robot V1.0,Robot POST,1743711587.7810202,1743711588,14,depart
LIC Robot V1.0,Robot POST,1743711591.0520017,1743711592,15,arrive
N/A,LIC Trigger POST,1743711592.0646365,1743711590.35,3,N/A,
N/A,LIC Trigger POST,1743711598.9229486,1743711597.34,3,N/A,
LIC Robot V1.0,Robot POST,1743711603.1437814,1743711604,15,depart
N/A,LIC Trigger POST,1743711605.881263,1743711604.34,3,N/A,
LIC Robot V1.0,Robot POST,1743711606.8362865,1743711607,16,arrive
LIC Robot V1.0,Robot POST,1743711619.4188085,1743711620,16,depart
LIC Robot V1.0,Robot POST,1743711622.3938155,1743711623,17,arrive
N/A,LIC Trigger POST,1743711623.4999404,1743711621.84,3,N/A,
LIC Robot V1.0,Robot POST,1743711634.7800407,1743711635,17,depart
LIC Robot V1.0,Robot POST,1743711637.4344144,1743711638,18,arrive
LIC Robot V1.0,Robot POST,1743711649.536254,1743711650,18,depart
LIC Robot V1.0,Robot POST,1743711652.9929457,1743711653,19,arrive
LIC Robot V1.0,Robot POST,1743711665.5602286,1743711666,19,depart
LIC Robot V1.0,Robot POST,1743711668.5989563,1743711669,20,arrive
