POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1740086656.0877662,1740086655,2,N/A
N/A,LIC Trigger POST,1740086661.5122461,1740086661,2,N/A
N/A,LIC Trigger POST,1740086711.236684,1740086710,3,N/A
N/A,LIC Trigger POST,1740086717.900203,1740086717,3,N/A
N/A,LIC Trigger POST,1740086725.3625145,1740086724,3,N/A
N/A,LIC Trigger POST,1740086732.4348433,1740086731,3,N/A
N/A,LIC Trigger POST,1740086746.5600173,1740086745,3,N/A
N/A,LIC Trigger POST,1740086753.3253205,1740086752,3,N/A
N/A,LIC Trigger POST,1740086767.210708,1740086766,3,N/A
N/A,LIC Trigger POST,1740086774.209359,1740086773,3,N/A
N/A,LIC Trigger POST,1740086781.4858923,1740086780,3,N/A
N/A,LIC Trigger POST,1740086787.941578,1740086787,3,N/A
N/A,LIC Trigger POST,1740086799.096005,1740086797,3,N/A
N/A,LIC Trigger POST,1740086805.8544202,1740086804,3,N/A
N/A,LIC Trigger POST,1740086851.2258387,1740086850,3,N/A
N/A,LIC Trigger POST,1740086858.0046282,1740086857,3,N/A
N/A,LIC Trigger POST,1740086883.2803538,1740086881,3,N/A
N/A,LIC Trigger POST,1740086917.984371,1740086916,3,N/A
N/A,LIC Trigger POST,1740087016.596953,1740087014,3,N/A
N/A,LIC Trigger POST,1740088192.4676096,1740088189,3,N/A
N/A,LIC Trigger POST,1740088199.0203543,1740088196,3,N/A
N/A,LIC Trigger POST,1740088219.722626,1740088217,3,N/A
N/A,LIC Trigger POST,1740088226.589085,1740088224,3,N/A
N/A,LIC Trigger POST,1740088496.227203,1740088493,3,N/A
LIC Robot V1.0,Robot POST,1740088522.609751,1740088521,0,arrive
LIC Robot V1.0,Robot POST,1740088530.395483,1740088530,0,start_arm
LIC Robot V1.0,Robot POST,1740088548.1117778,1740088548,0,end_arm
LIC Robot V1.0,Robot POST,1740088554.8611996,1740088555,0,depart
LIC Robot V1.0,Robot POST,1740088557.8702455,1740088558,1,arrive
LIC Robot V1.0,Robot POST,1740088564.801824,1740088565,1,start_arm
LIC Robot V1.0,Robot POST,1740088580.1732795,1740088581,1,end_arm
LIC Robot V1.0,Robot POST,1740088586.2247465,1740088587,1,depart
LIC Robot V1.0,Robot POST,1740088589.2763813,1740088590,2,arrive
LIC Robot V1.0,Robot POST,1740088595.3329666,1740088596,2,start_arm
LIC Robot V1.0,Robot POST,1740088635.180181,1740088636,2,depart
LIC Robot V1.0,Robot POST,1740088638.3214908,1740088639,3,arrive
LIC Robot V1.0,Robot POST,1740088644.4737546,1740088645,3,start_arm
LIC Robot V1.0,Robot POST,1740088691.4192188,1740088660,3,end_arm
LIC Robot V1.0,Robot POST,1740088697.5131845,1740088698,3,depart
LIC Robot V1.0,Robot POST,1740088701.0048697,1740088702,4,arrive
N/A,LIC Trigger POST,1740088703.0458305,1740088699,3,N/A
LIC Robot V1.0,Robot POST,1740088707,1740088708,4,start_arm
N/A,LIC Trigger POST,1740088709.8033652,1740088706,3,N/A
N/A,LIC Trigger POST,1740088717.1764934,1740088713,3,N/A
LIC Robot V1.0,Robot POST,1740088723,1740088723,4,end_arm
LIC Robot V1.0,Robot POST,1740088729.3732927,1740088730,4,depart
N/A,LIC Trigger POST,1740088731.001908,1740088727,3,N/A
LIC Robot V1.0,Robot POST,1740088732.439044,1740088733,5,arrive
LIC Robot V1.0,Robot POST,1740088738.8812127,1740088739,5,start_arm
N/A,LIC Trigger POST,1740088748.1906793,1740088745,3,N/A
LIC Robot V1.0,Robot POST,1740088754.3543005,1740088755,5,end_arm
LIC Robot V1.0,Robot POST,1740088760.493387,1740088761,5,depart
N/A,LIC Trigger POST,1740088762.7455223,1740088759,3,N/A
LIC Robot V1.0,Robot POST,1740088763.4684327,1740088764,6,arrive
LIC Robot V1.0,Robot POST,1740088769.8121035,1740088770,6,start_arm
N/A,LIC Trigger POST,1740088776.4671822,1740088773,3,N/A
LIC Robot V1.0,Robot POST,1740088785.3831878,1740088786,6,end_arm
LIC Robot V1.0,Robot POST,1740088791.437081,1740088792,6,depart
LIC Robot V1.0,Robot POST,1740088794.5012777,1740088795,7,arrive
LIC Robot V1.0,Robot POST,1740088800.7374756,1740088801,7,start_arm
LIC Robot V1.0,Robot POST,1740088815.976057,1740088817,7,end_arm
LIC Robot V1.0,Robot POST,1740088822.2419019,1740088823,7,depart
LIC Robot V1.0,Robot POST,1740088825.2195795,1740088826,8,arrive
LIC Robot V1.0,Robot POST,1740088831.5594685,1740088832,8,start_arm
LIC Robot V1.0,Robot POST,1740088847.1223938,1740088847,8,end_arm
LIC Robot V1.0,Robot POST,1740088853.2440894,1740088854,8,depart
LIC Robot V1.0,Robot POST,1740088856.934814,1740088857,9,arrive
LIC Robot V1.0,Robot POST,1740088863.4082813,1740088864,9,start_arm
LIC Robot V1.0,Robot POST,1740088879.4747872,1740088879,9,end_arm
LIC Robot V1.0,Robot POST,1740088886.7556963,1740088887,9,depart
LIC Robot V1.0,Robot POST,1740088890.5511017,1740088891,10,arrive
LIC Robot V1.0,Robot POST,1740088896.8983314,1740088897,10,start_arm
LIC Robot V1.0,Robot POST,1740088912.865489,1740088913,10,end_arm
LIC Robot V1.0,Robot POST,1740088919.0258772,1740088920,10,depart
LIC Robot V1.0,Robot POST,1740088922.0565941,1740088923,R,arrive
LIC Robot V1.0,Robot POST,1740088985.9957945,1740088938,R,depart
LIC Robot V1.0,Robot POST,1740088991.8856559,1740088992,R,arrive
LIC Robot V1.0,Robot POST,1740089007.274208,1740089007,R,depart
LIC Robot V1.0,Robot POST,1740089010.5563207,1740089011,11,arrive
LIC Robot V1.0,Robot POST,1740089016.6404939,1740089017,11,start_arm
LIC Robot V1.0,Robot POST,1740089032.1542997,1740089033,11,end_arm
LIC Robot V1.0,Robot POST,1740089038.604967,1740089039,11,depart
LIC Robot V1.0,Robot POST,1740089041.9950783,1740089042,12,arrive
LIC Robot V1.0,Robot POST,1740089048.4444118,1740089049,12,start_arm
LIC Robot V1.0,Robot POST,1740089064.4145205,1740089065,12,end_arm
LIC Robot V1.0,Robot POST,1740089071.1731882,1740089071,12,depart
LIC Robot V1.0,Robot POST,1740089074.7722409,1740089075,13,arrive
LIC Robot V1.0,Robot POST,1740089081.2166646,1740089081,13,start_arm
N/A,LIC Trigger POST,1740089087.9712577,1740089084,3,N/A
N/A,LIC Trigger POST,1740089094.6983871,1740089091,3,N/A
LIC Robot V1.0,Robot POST,1740089096.8631341,1740089098,13,end_arm
LIC Robot V1.0,Robot POST,1740089103.4427326,1740089104,13,depart
N/A,LIC Trigger POST,1740089105.4729457,1740089101,3,N/A
LIC Robot V1.0,Robot POST,1740089106.4103587,1740089107,14,arrive
LIC Robot V1.0,Robot POST,1740089112.9549887,1740089113,14,start_arm
N/A,LIC Trigger POST,1740089115.9163206,1740089112,3,N/A
N/A,LIC Trigger POST,1740089122.9928002,1740089119,3,N/A
LIC Robot V1.0,Robot POST,1740089129.2427225,1740089129,14,end_arm
LIC Robot V1.0,Robot POST,1740089135.795758,1740089136,14,depart
LIC Robot V1.0,Robot POST,1740089138.875845,1740089139,15,arrive
N/A,LIC Trigger POST,1740089140.8051484,1740089136,3,N/A
LIC Robot V1.0,Robot POST,1740089145.0207775,1740089145,15,start_arm
N/A,LIC Trigger POST,1740089147.2617888,1740089143,3,N/A
N/A,LIC Trigger POST,1740089158.0117717,1740089154,3,N/A
LIC Robot V1.0,Robot POST,1740089192.7260854,1740089161,15,end_arm
LIC Robot V1.0,Robot POST,1740089199.4862032,1740089200,15,depart
LIC Robot V1.0,Robot POST,1740089203.1763508,1740089203,16,arrive
N/A,LIC Trigger POST,1740089203.4663076,1740089199,3,N/A
LIC Robot V1.0,Robot POST,1740089209.9364486,1740089210,16,start_arm
LIC Robot V1.0,Robot POST,1740089225.9061182,1740089226,16,end_arm
LIC Robot V1.0,Robot POST,1740089232.1569536,1740089233,16,depart
LIC Robot V1.0,Robot POST,1740089235.344955,1740089236,17,arrive
LIC Robot V1.0,Robot POST,1740089241.6646852,1740089242,17,start_arm
LIC Robot V1.0,Robot POST,1740089257.0370843,1740089258,17,end_arm
LIC Robot V1.0,Robot POST,1740089263.1822789,1740089264,17,depart
LIC Robot V1.0,Robot POST,1740089266.0577822,1740089266,18,arrive
LIC Robot V1.0,Robot POST,1740089272.3929367,1740089273,18,start_arm
LIC Robot V1.0,Robot POST,1740089288.372862,1740089289,18,end_arm
LIC Robot V1.0,Robot POST,1740089294.824813,1740089295,18,depart
LIC Robot V1.0,Robot POST,1740089297.8941627,1740089298,19,arrive
LIC Robot V1.0,Robot POST,1740089304.3543975,1740089305,19,start_arm
LIC Robot V1.0,Robot POST,1740089319.9053364,1740089320,19,end_arm
LIC Robot V1.0,Robot POST,1740089325.9528546,1740089327,19,depart
LIC Robot V1.0,Robot POST,1740089328.7252705,1740089329,20,arrive
LIC Robot V1.0,Robot POST,1740089334.8712454,1740089335,20,start_arm
