POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1740098104.0710928,1740098099.44,3,N/A,
LIC Robot V1.0,Robot POST,1740098120.4548008,1740098120,0,arrive
LIC Robot V1.0,Robot POST,1740098160.3008716,1740098160,0,end_arm
LIC Robot V1.0,Robot POST,1740098166.5389078,1740098166,0,depart
LIC Robot V1.0,Robot POST,1740098170.1208613,1740098169,1,arrive
LIC Robot V1.0,Robot POST,1740098176.2710848,1740098176,1,start_arm
LIC Robot V1.0,Robot POST,1740098192.4364522,1740098191,1,end_arm
LIC Robot V1.0,Robot POST,1740098199.1978304,1740098198,1,depart
LIC Robot V1.0,Robot POST,1740098202.2759228,1740098202,2,arrive
LIC Robot V1.0,Robot POST,1740098208.5566306,1740098208,2,start_arm
LIC Robot V1.0,Robot POST,1740098233.1107786,1740098233,2,depart
LIC Robot V1.0,Robot POST,1740098236.1747956,1740098236,3,arrive
LIC Robot V1.0,Robot POST,1740098242.3211033,1740098242,3,start_arm
LIC Robot V1.0,Robot POST,1740098282.0504928,1740098282,3,depart
LIC Robot V1.0,Robot POST,1740098285.3299248,1740098285,4,arrive
LIC Robot V1.0,Robot POST,1740098291.5680351,1740098291,4,start_arm
LIC Robot V1.0,Robot POST,1740098306.9351885,1740098306,4,end_arm
LIC Robot V1.0,Robot POST,1740098312.9806738,1740098312,4,depart
LIC Robot V1.0,Robot POST,1740098316.2409353,1740098315,5,arrive
N/A,LIC Trigger POST,1740098317.3716702,1740098312.71,3,N/A,
LIC Robot V1.0,Robot POST,1740098322.6980634,1740098322,5,start_arm
LIC Robot V1.0,Robot POST,1740098338.0601118,1740098338,5,end_arm
LIC Robot V1.0,Robot POST,1740098344.5983675,1740098344,5,depart
LIC Robot V1.0,Robot POST,1740098347.4874196,1740098347,6,arrive
LIC Robot V1.0,Robot POST,1740098354.0292568,1740098353,6,start_arm
N/A,LIC Trigger POST,1740098359.1412518,1740098354.64,3,N/A,
LIC Robot V1.0,Robot POST,1740098370.0940092,1740098369,6,end_arm
LIC Robot V1.0,Robot POST,1740098376.7601035,1740098376,6,depart
LIC Robot V1.0,Robot POST,1740098380.5574255,1740098380,7,arrive
LIC Robot V1.0,Robot POST,1740098386.8953884,1740098386,7,start_arm
LIC Robot V1.0,Robot POST,1740098403.1894004,1740098402,7,end_arm
LIC Robot V1.0,Robot POST,1740098409.5133944,1740098409,7,depart
LIC Robot V1.0,Robot POST,1740098412.8047051,1740098412,8,arrive
LIC Robot V1.0,Robot POST,1740098418.9347382,1740098418,8,start_arm
LIC Robot V1.0,Robot POST,1740098434.2721512,1740098434,8,end_arm
LIC Robot V1.0,Robot POST,1740098440.334322,1740098440,8,depart
LIC Robot V1.0,Robot POST,1740098443.57712,1740098443,9,arrive
LIC Robot V1.0,Robot POST,1740098449.8697996,1740098449,9,start_arm
LIC Robot V1.0,Robot POST,1740098465.9420173,1740098465,9,end_arm
LIC Robot V1.0,Robot POST,1740098472.9333608,1740098472,9,depart
LIC Robot V1.0,Robot POST,1740098476.285402,1740098475,10,arrive
LIC Robot V1.0,Robot POST,1740098482.5827894,1740098482,10,start_arm
LIC Robot V1.0,Robot POST,1740098498.0211308,1740098497,10,end_arm
LIC Robot V1.0,Robot POST,1740098504.566095,1740098504,10,depart
LIC Robot V1.0,Robot POST,1740098507.1321092,1740098507,R,arrive
LIC Robot V1.0,Robot POST,1740098522.1880205,1740098522,R,depart
LIC Robot V1.0,Robot POST,1740098527.9169283,1740098527,R,arrive
LIC Robot V1.0,Robot POST,1740098542.7567077,1740098542,R,depart
LIC Robot V1.0,Robot POST,1740098546.036933,1740098545,11,arrive
LIC Robot V1.0,Robot POST,1740098552.789362,1740098552,11,start_arm
LIC Robot V1.0,Robot POST,1740098569.0636308,1740098568,11,end_arm
LIC Robot V1.0,Robot POST,1740098575.5208733,1740098575,11,depart
LIC Robot V1.0,Robot POST,1740098578.9003716,1740098578,12,arrive
LIC Robot V1.0,Robot POST,1740098585.357519,1740098585,12,start_arm
LIC Robot V1.0,Robot POST,1740098601.6327264,1740098600,12,end_arm
LIC Robot V1.0,Robot POST,1740098608.0929072,1740098607,12,depart
LIC Robot V1.0,Robot POST,1740098610.983286,1740098610,13,arrive
LIC Robot V1.0,Robot POST,1740098617.3050456,1740098617,13,start_arm
N/A,LIC Trigger POST,1740098628.8766766,1740098623.84,3,N/A,
LIC Robot V1.0,Robot POST,1740098633.2822835,1740098632,13,end_arm
LIC Robot V1.0,Robot POST,1740098639.528409,1740098639,13,depart
LIC Robot V1.0,Robot POST,1740098642.6050208,1740098642,14,arrive
N/A,LIC Trigger POST,1740098642.9047575,1740098637.84,3,N/A,
LIC Robot V1.0,Robot POST,1740098648.9496586,1740098648,14,start_arm
N/A,LIC Trigger POST,1740098663.4089403,1740098658.83,3,N/A,
LIC Robot V1.0,Robot POST,1740098664.5816667,1740098664,14,end_arm
LIC Robot V1.0,Robot POST,1740098670.9563956,1740098670,14,depart
LIC Robot V1.0,Robot POST,1740098673.8433733,1740098673,15,arrive
LIC Robot V1.0,Robot POST,1740098680.2849095,1740098679,15,start_arm
LIC Robot V1.0,Robot POST,1740098696.258728,1740098695,15,end_arm
LIC Robot V1.0,Robot POST,1740098702.710227,1740098702,15,depart
LIC Robot V1.0,Robot POST,1740098705.58276,1740098705,16,arrive
LIC Robot V1.0,Robot POST,1740098711.7281513,1740098711,16,start_arm
N/A,LIC Trigger POST,1740098716.1229107,1740098711.22,3,N/A,
LIC Robot V1.0,Robot POST,1740098727.0932293,1740098727,16,end_arm
LIC Robot V1.0,Robot POST,1740098733.22427,1740098733,16,depart
LIC Robot V1.0,Robot POST,1740098736.4002419,1740098735,17,arrive
LIC Robot V1.0,Robot POST,1740098742.9581587,1740098742,17,start_arm
LIC Robot V1.0,Robot POST,1740098758.3195026,1740098758,17,end_arm
LIC Robot V1.0,Robot POST,1740098765.1736178,1740098764,17,depart
LIC Robot V1.0,Robot POST,1740098769.0664563,1740098768,18,arrive
LIC Robot V1.0,Robot POST,1740098775.1795108,1740098775,18,start_arm
LIC Robot V1.0,Robot POST,1740098791.3898516,1740098790,18,end_arm
LIC Robot V1.0,Robot POST,1740098797.9267945,1740098797,18,depart
LIC Robot V1.0,Robot POST,1740098801.0177343,1740098800,19,arrive
LIC Robot V1.0,Robot POST,1740098807.4595559,1740098807,19,start_arm
LIC Robot V1.0,Robot POST,1740098823.0398395,1740098822,19,end_arm
LIC Robot V1.0,Robot POST,1740098829.6768572,1740098829,19,depart
LIC Robot V1.0,Robot POST,1740098832.5474267,1740098832,20,arrive
LIC Robot V1.0,Robot POST,1740098838.6137047,1740098838,20,start_arm
LIC Robot V1.0,Robot POST,1740098854.0586953,1740098853,20,end_arm
LIC Robot V1.0,Robot POST,1740098860.6122205,1740098860,20,depart
LIC Robot V1.0,Robot POST,1740098863.3935714,1740098863,L,arrive
LIC Robot V1.0,Robot POST,1740098878.844946,1740098878,L,depart
LIC Robot V1.0,Robot POST,1740098883.8715298,1740098883,L,arrive
LIC Robot V1.0,Robot POST,1740098898.5918305,1740098898,L,depart
LIC Robot V1.0,Robot POST,1740098901.679997,1740098901,21,arrive
LIC Robot V1.0,Robot POST,1740098908.2202508,1740098907,21,start_arm
LIC Robot V1.0,Robot POST,1740098924.312061,1740098924,21,end_arm
LIC Robot V1.0,Robot POST,1740098930.4589863,1740098930,21,depart
LIC Robot V1.0,Robot POST,1740098933.4178793,1740098933,22,arrive
LIC Robot V1.0,Robot POST,1740098939.86511,1740098939,22,start_arm
LIC Robot V1.0,Robot POST,1740098955.840348,1740098955,22,end_arm
LIC Robot V1.0,Robot POST,1740098962.3695898,1740098962,22,depart
LIC Robot V1.0,Robot POST,1740098966.287793,1740098965,23,arrive
LIC Robot V1.0,Robot POST,1740098972.5435314,1740098972,23,start_arm
LIC Robot V1.0,Robot POST,1740098987.906308,1740098987,23,end_arm
LIC Robot V1.0,Robot POST,1740098994.0478518,1740098993,23,depart
LIC Robot V1.0,Robot POST,1740098997.0199065,1740098997,24,arrive
LIC Robot V1.0,Robot POST,1740099003.7709875,1740099003,24,start_arm
N/A,LIC Trigger POST,1740099010.2194488,1740099004.87,3,N/A,
N/A,LIC Trigger POST,1740099017.2714884,1740099011.9,3,N/A,
LIC Robot V1.0,Robot POST,1740099019.743811,1740099019,24,end_arm
LIC Robot V1.0,Robot POST,1740099026.1956263,1740099025,24,depart
LIC Robot V1.0,Robot POST,1740099029.7813091,1740099029,25,arrive
N/A,LIC Trigger POST,1740099030.9277887,1740099025.88,3,N/A,
LIC Robot V1.0,Robot POST,1740099036.324925,1740099035,25,start_arm
N/A,LIC Trigger POST,1740099049.0308712,1740099043.4,3,N/A,
LIC Robot V1.0,Robot POST,1740099052.6157324,1740099051,25,end_arm
LIC Robot V1.0,Robot POST,1740099059.0593948,1740099058,25,depart
LIC Robot V1.0,Robot POST,1740099062.1381626,1740099061,26,arrive
N/A,LIC Trigger POST,1740099062.4589524,1740099057.31,3,N/A,
LIC Robot V1.0,Robot POST,1740099068.5927896,1740099068,26,start_arm
N/A,LIC Trigger POST,1740099073.1934955,1740099067.81,3,N/A,
LIC Robot V1.0,Robot POST,1740099084.8711414,1740099084,26,end_arm
LIC Robot V1.0,Robot POST,1740099091.6329103,1740099091,26,depart
LIC Robot V1.0,Robot POST,1740099095.309396,1740099094,27,arrive
LIC Robot V1.0,Robot POST,1740099101.7766743,1740099101,27,start_arm
LIC Robot V1.0,Robot POST,1740099117.339358,1740099117,27,end_arm
LIC Robot V1.0,Robot POST,1740099123.4671836,1740099123,27,depart
LIC Robot V1.0,Robot POST,1740099126.140127,1740099126,28,arrive
LIC Robot V1.0,Robot POST,1740099132.1832654,1740099132,28,start_arm
LIC Robot V1.0,Robot POST,1740099147.8384917,1740099147,28,end_arm
LIC Robot V1.0,Robot POST,1740099154.5055532,1740099154,28,depart
LIC Robot V1.0,Robot POST,1740099157.2728076,1740099157,29,arrive
LIC Robot V1.0,Robot POST,1740099163.3240178,1740099163,29,start_arm
LIC Robot V1.0,Robot POST,1740099188.1914477,1740099187,29,depart
LIC Robot V1.0,Robot POST,1740099191.1274283,1740099191,30,arrive
LIC Robot V1.0,Robot POST,1740099222.7242715,1740099222,30,end_arm
LIC Robot V1.0,Robot POST,1740099229.1409106,1740099228,30,depart
LIC Robot V1.0,Robot POST,1740099232.088634,1740099231,R,arrive
LIC Robot V1.0,Robot POST,1740099247.0610273,1740099247,R,depart
LIC Robot V1.0,Robot POST,1740099252.4084074,1740099252,R,arrive
LIC Robot V1.0,Robot POST,1740099268.269554,1740099267,R,depart
LIC Robot V1.0,Robot POST,1740099271.9472694,1740099271,31,arrive
LIC Robot V1.0,Robot POST,1740099278.2969816,1740099278,31,start_arm
LIC Robot V1.0,Robot POST,1740099294.3820355,1740099293,31,end_arm
LIC Robot V1.0,Robot POST,1740099300.7340562,1740099300,31,depart
LIC Robot V1.0,Robot POST,1740099303.9165564,1740099303,32,arrive
LIC Robot V1.0,Robot POST,1740099310.1232247,1740099310,32,start_arm
LIC Robot V1.0,Robot POST,1740099325.71673,1740099325,32,end_arm
LIC Robot V1.0,Robot POST,1740099332.1684537,1740099331,32,depart
LIC Robot V1.0,Robot POST,1740099335.2462556,1740099335,33,arrive
LIC Robot V1.0,Robot POST,1740099341.388203,1740099341,33,start_arm
LIC Robot V1.0,Robot POST,1740099356.9501114,1740099356,33,end_arm
LIC Robot V1.0,Robot POST,1740099363.1060812,1740099363,33,depart
LIC Robot V1.0,Robot POST,1740099365.956888,1740099365,34,arrive
LIC Robot V1.0,Robot POST,1740099372.0075722,1740099372,34,start_arm
LIC Robot V1.0,Robot POST,1740099387.774753,1740099387,34,end_arm
LIC Robot V1.0,Robot POST,1740099394.8283906,1740099394,34,depart
LIC Robot V1.0,Robot POST,1740099398.726123,1740099398,35,arrive
N/A,LIC Trigger POST,1740099399.0262268,1740099392.99,3,N/A,
LIC Robot V1.0,Robot POST,1740099405.2853286,1740099405,35,start_arm
LIC Robot V1.0,Robot POST,1740099421.254568,1740099420,35,end_arm
LIC Robot V1.0,Robot POST,1740099427.4860835,1740099427,35,depart
N/A,LIC Trigger POST,1740099430.2164488,1740099424.43,3,N/A,
LIC Robot V1.0,Robot POST,1740099430.4956787,1740099430,36,arrive
LIC Robot V1.0,Robot POST,1740099437.0312815,1740099436,36,start_arm
LIC Robot V1.0,Robot POST,1740099461.5219345,1740099461,36,depart
LIC Robot V1.0,Robot POST,1740099464.2887616,1740099464,37,arrive
N/A,LIC Trigger POST,1740099465.0065148,1740099459.42,3,N/A,
LIC Robot V1.0,Robot POST,1740099470.419287,1740099470,37,start_arm
LIC Robot V1.0,Robot POST,1740099486.3706746,1740099485,37,end_arm
LIC Robot V1.0,Robot POST,1740099492.632123,1740099492,37,depart
LIC Robot V1.0,Robot POST,1740099495.5938153,1740099495,38,arrive
LIC Robot V1.0,Robot POST,1740099502.0515141,1740099501,38,start_arm
LIC Robot V1.0,Robot POST,1740099518.0230374,1740099517,38,end_arm
LIC Robot V1.0,Robot POST,1740099525.0931394,1740099524,38,depart
LIC Robot V1.0,Robot POST,1740099528.4669745,1740099528,39,arrive
LIC Robot V1.0,Robot POST,1740099534.914671,1740099534,39,start_arm
LIC Robot V1.0,Robot POST,1740099551.0939271,1740099550,39,end_arm
LIC Robot V1.0,Robot POST,1740099557.965222,1740099557,39,depart
LIC Robot V1.0,Robot POST,1740099560.839562,1740099560,40,arrive
LIC Robot V1.0,Robot POST,1740099567.0806062,1740099566,40,start_arm
LIC Robot V1.0,Robot POST,1740099582.5526683,1740099582,40,end_arm
LIC Robot V1.0,Robot POST,1740099588.682708,1740099588,40,depart
LIC Robot V1.0,Robot POST,1740099591.4456527,1740099591,L,arrive
LIC Robot V1.0,Robot POST,1740099606.617144,1740099606,L,depart
LIC Robot V1.0,Robot POST,1740099611.5308702,1740099611,L,arrive
LIC Robot V1.0,Robot POST,1740099658.6199641,1740099626,L,depart
LIC Robot V1.0,Robot POST,1740099661.966401,1740099661,41,arrive
LIC Robot V1.0,Robot POST,1740099708.1107926,1740099707,42,start_arm
LIC Robot V1.0,Robot POST,1740099723.560341,1740099723,42,end_arm
LIC Robot V1.0,Robot POST,1740099730.1013765,1740099729,42,depart
LIC Robot V1.0,Robot POST,1740099733.156879,1740099733,43,arrive
LIC Robot V1.0,Robot POST,1740099739.2550044,1740099739,43,start_arm
LIC Robot V1.0,Robot POST,1740099754.687039,1740099754,43,end_arm
LIC Robot V1.0,Robot POST,1740099761.028766,1740099760,43,depart
LIC Robot V1.0,Robot POST,1740099764.7113588,1740099764,44,arrive
LIC Robot V1.0,Robot POST,1740099771.1631873,1740099771,44,start_arm
LIC Robot V1.0,Robot POST,1740099787.142119,1740099786,44,end_arm
LIC Robot V1.0,Robot POST,1740099793.8978753,1740099793,44,depart
LIC Robot V1.0,Robot POST,1740099797.1760864,1740099797,45,arrive
LIC Robot V1.0,Robot POST,1740099803.7293525,1740099803,45,start_arm
LIC Robot V1.0,Robot POST,1740099819.6928508,1740099819,45,end_arm
LIC Robot V1.0,Robot POST,1740099826.1468227,1740099825,45,depart
LIC Robot V1.0,Robot POST,1740099829.2322657,1740099829,46,arrive
LIC Robot V1.0,Robot POST,1740099835.6675673,1740099835,46,start_arm
LIC Robot V1.0,Robot POST,1740099851.6529024,1740099851,46,end_arm
LIC Robot V1.0,Robot POST,1740099857.8724668,1740099857,46,depart
LIC Robot V1.0,Robot POST,1740099861.169591,1740099860,47,arrive
LIC Robot V1.0,Robot POST,1740099867.9288163,1740099867,47,start_arm
LIC Robot V1.0,Robot POST,1740099883.9047873,1740099883,47,end_arm
LIC Robot V1.0,Robot POST,1740099890.1306262,1740099890,47,depart
LIC Robot V1.0,Robot POST,1740099893.1255054,1740099892,48,arrive
LIC Robot V1.0,Robot POST,1740099899.877374,1740099899,48,start_arm
LIC Robot V1.0,Robot POST,1740099915.3800511,1740099915,48,end_arm
LIC Robot V1.0,Robot POST,1740099921.5525053,1740099921,48,depart
LIC Robot V1.0,Robot POST,1740099924.5794427,1740099924,49,arrive
LIC Robot V1.0,Robot POST,1740099931.122827,1740099931,49,start_arm
