POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743713786.7662725,1743713782.12,3,N/A,
N/A,LIC Trigger POST,1743713793.5264022,1743713789.08,3,N/A,
N/A,LIC Trigger POST,1743713800.5661743,1743713796.12,3,N/A,
N/A,LIC Trigger POST,1743714678.7665274,1743714678.06,4,N/A,
N/A,LIC Trigger POST,1743714684.3901274,1743714683.83,4,N/A,
N/A,LIC Trigger POST,1743714689.8533666,1743714689.44,4,N/A,
N/A,LIC Trigger POST,1743714695.2616858,1743714694.9,4,N/A,
N/A,LIC Trigger POST,1743714700.6927707,1743714700.34,4,N/A,
N/A,LIC Trigger POST,1743714709.0928686,1743714708.68,4,N/A,
N/A,LIC Trigger POST,1743714714.6142318,1743714714.09,4,N/A,
N/A,LIC Trigger POST,1743714720.1328251,1743714719.61,4,N/A,
N/A,LIC Trigger POST,1743714725.5665288,1743714725.13,4,N/A,
N/A,LIC Trigger POST,1743714780.8592973,1743714780.42,4,N/A,
N/A,LIC Trigger POST,1743715486.8203382,1743715486.22,4,N/A,
N/A,LIC Trigger POST,1743715493.877092,1743715493.18,4,N/A,
N/A,LIC Trigger POST,1743715499.407121,1743715498.72,4,N/A,
N/A,LIC Trigger POST,1743715524.9086232,1743715524.06,4,N/A,
N/A,LIC Trigger POST,1743715530.4353802,1743715529.65,4,N/A,
N/A,LIC Trigger POST,1743715535.9613085,1743715535.25,4,N/A,
N/A,LIC Trigger POST,1743715541.385163,1743715540.72,4,N/A,
N/A,LIC Trigger POST,1743715546.9224586,1743715546.12,4,N/A,
N/A,LIC Trigger POST,1743715552.341851,1743715551.7,4,N/A,
N/A,LIC Trigger POST,1743715557.771761,1743715557.07,4,N/A,
N/A,LIC Trigger POST,1743715587.9879756,1743715587.29,4,N/A,
N/A,LIC Trigger POST,1743715593.6202874,1743715592.76,4,N/A,
N/A,LIC Trigger POST,1743715614.4316547,1743715613.68,4,N/A,
N/A,LIC Trigger POST,1743715619.8444417,1743715619.09,4,N/A,
N/A,LIC Trigger POST,1743715626.6082563,1743715625.68,4,N/A,
N/A,LIC Trigger POST,1743715632.2377734,1743715631.29,4,N/A,
N/A,LIC Trigger POST,1743715637.7572353,1743715636.84,4,N/A,
LIC Robot V1.0,Robot POST,1743715648.7314024,1743715649,0,arrive
LIC Robot V1.0,Robot POST,1743715661.640872,1743715662,0,depart
LIC Robot V1.0,Robot POST,1743715665.0129638,1743715666,1,arrive
LIC Robot V1.0,Robot POST,1743715677.9088795,1743715678,1,depart
LIC Robot V1.0,Robot POST,1743715680.78197,1743715681,2,arrive
LIC Robot V1.0,Robot POST,1743715693.2747893,1743715694,2,depart
LIC Robot V1.0,Robot POST,1743715696.6489062,1743715697,3,arrive
LIC Robot V1.0,Robot POST,1743715709.2493966,1743715709,3,depart
N/A,LIC Trigger POST,1743715711.3664281,1743715710.36,4,N/A,
LIC Robot V1.0,Robot POST,1743715712.6106377,1743715713,4,arrive
LIC Robot V1.0,Robot POST,1743715725.2290568,1743715725,4,depart
N/A,LIC Trigger POST,1743715726.5359867,1743715725.66,4,N/A,
LIC Robot V1.0,Robot POST,1743715728.5916944,1743715729,5,arrive
N/A,LIC Trigger POST,1743715732.0623367,1743715731.15,4,N/A,
LIC Robot V1.0,Robot POST,1743715740.895519,1743715741,5,depart
N/A,LIC Trigger POST,1743715742.0891683,1743715741.22,4,N/A,
LIC Robot V1.0,Robot POST,1743715744.262753,1743715745,6,arrive
N/A,LIC Trigger POST,1743715747.5129654,1743715746.59,4,N/A,
LIC Robot V1.0,Robot POST,1743715756.3456466,1743715757,6,depart
N/A,LIC Trigger POST,1743715757.6634405,1743715756.56,4,N/A,
LIC Robot V1.0,Robot POST,1743715759.4113207,1743715760,7,arrive
LIC Robot V1.0,Robot POST,1743715771.613501,1743715772,7,depart
LIC Robot V1.0,Robot POST,1743715774.8757918,1743715775,8,arrive
LIC Robot V1.0,Robot POST,1743715786.9716382,1743715788,8,depart
LIC Robot V1.0,Robot POST,1743715790.123932,1743715791,9,arrive
LIC Robot V1.0,Robot POST,1743715802.7339754,1743715803,9,depart
LIC Robot V1.0,Robot POST,1743715806.708143,1743715807,10,arrive
LIC Robot V1.0,Robot POST,1743715819.2256868,1743715820,10,depart
LIC Robot V1.0,Robot POST,1743715822.0845938,1743715823,R,arrive
LIC Robot V1.0,Robot POST,1743715837.9719574,1743715838,R,depart
LIC Robot V1.0,Robot POST,1743715843.7925768,1743715844,R,arrive
LIC Robot V1.0,Robot POST,1743715859.1603441,1743715859,R,depart
LIC Robot V1.0,Robot POST,1743715862.6256042,1743715863,11,arrive
LIC Robot V1.0,Robot POST,1743715875.137909,1743715875,11,depart
LIC Robot V1.0,Robot POST,1743715878.603911,1743715879,12,arrive
LIC Robot V1.0,Robot POST,1743715891.4282317,1743715892,12,depart
LIC Robot V1.0,Robot POST,1743715895.1031916,1743715895,13,arrive
LIC Robot V1.0,Robot POST,1743715907.4019613,1743715908,13,depart
N/A,LIC Trigger POST,1743715910.4496,1743715909.11,4,N/A,
LIC Robot V1.0,Robot POST,1743715910.7656279,1743715911,14,arrive
LIC Robot V1.0,Robot POST,1743715923.064718,1743715923,14,depart
N/A,LIC Trigger POST,1743715924.384466,1743715923.22,4,N/A,
LIC Robot V1.0,Robot POST,1743715926.2293842,1743715927,15,arrive
N/A,LIC Trigger POST,1743715929.821717,1743715928.7,4,N/A,
LIC Robot V1.0,Robot POST,1743715938.313923,1743715939,15,depart
N/A,LIC Trigger POST,1743715939.542666,1743715938.27,4,N/A,
LIC Robot V1.0,Robot POST,1743715940.978534,1743715942,16,arrive
N/A,LIC Trigger POST,1743715944.9723938,1743715943.8,4,N/A,
LIC Robot V1.0,Robot POST,1743715953.1655512,1743715954,16,depart
N/A,LIC Trigger POST,1743715954.1825933,1743715953.03,4,N/A,
LIC Robot V1.0,Robot POST,1743715956.1213484,1743715957,17,arrive
N/A,LIC Trigger POST,1743715959.7023787,1743715958.41,4,N/A,
