POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743789031.4477062,1743789030.42,4,N/A,
N/A,LIC Trigger POST,1743789036.9371014,1743789035.79,4,N/A,
LIC Robot V1.0,Robot POST,1743789048.9451776,1743789048,0,arrive
LIC Robot V1.0,Robot POST,1743789062.1511428,1743789061,0,depart
LIC Robot V1.0,Robot POST,1743789065.321076,1743789065,1,arrive
LIC Robot V1.0,Robot POST,1743789077.564613,1743789078,1,depart
LIC Robot V1.0,Robot POST,1743789080.4858258,1743789080,2,arrive
LIC Robot V1.0,Robot POST,1743789092.534546,1743789092,2,depart
LIC Robot V1.0,Robot POST,1743789096.0010443,1743789096,3,arrive
LIC Robot V1.0,Robot POST,1743789108.0358744,1743789108,3,depart
N/A,LIC Trigger POST,1743789109.9951386,1743789108.89,4,N/A,
LIC Robot V1.0,Robot POST,1743789111.14383,1743789111,4,arrive
N/A,LIC Trigger POST,1743789115.3906093,1743789114.26,4,N/A,
LIC Robot V1.0,Robot POST,1743789123.177023,1743789123,4,depart
N/A,LIC Trigger POST,1743789124.116456,1743789122.97,4,N/A,
LIC Robot V1.0,Robot POST,1743789126.199193,1743789126,5,arrive
N/A,LIC Trigger POST,1743789129.496413,1743789128.34,4,N/A,
LIC Robot V1.0,Robot POST,1743789138.2486613,1743789138,5,depart
N/A,LIC Trigger POST,1743789139.1285174,1743789137.95,4,N/A,
LIC Robot V1.0,Robot POST,1743789141.3766296,1743789141,6,arrive
N/A,LIC Trigger POST,1743789144.5034218,1743789143.32,4,N/A,
LIC Robot V1.0,Robot POST,1743789153.4217262,1743789153,6,depart
N/A,LIC Trigger POST,1743789154.2995594,1743789153.14,4,N/A,
LIC Robot V1.0,Robot POST,1743789156.548963,1743789156,7,arrive
LIC Robot V1.0,Robot POST,1743789168.5751755,1743789169,7,depart
LIC Robot V1.0,Robot POST,1743789171.5895762,1743789172,8,arrive
LIC Robot V1.0,Robot POST,1743789183.8126495,1743789184,8,depart
LIC Robot V1.0,Robot POST,1743789186.7393637,1743789187,9,arrive
LIC Robot V1.0,Robot POST,1743789198.7729173,1743789199,9,depart
LIC Robot V1.0,Robot POST,1743789201.8948328,1743789202,10,arrive
LIC Robot V1.0,Robot POST,1743789213.9206326,1743789214,10,depart
LIC Robot V1.0,Robot POST,1743789216.550282,1743789217,R,arrive
LIC Robot V1.0,Robot POST,1743789231.8349342,1743789232,R,depart
LIC Robot V1.0,Robot POST,1743789237.3947577,1743789237,R,arrive
LIC Robot V1.0,Robot POST,1743789252.5230534,1743789252,R,depart
LIC Robot V1.0,Robot POST,1743789255.524881,1743789255,11,arrive
LIC Robot V1.0,Robot POST,1743789267.5772953,1743789268,11,depart
LIC Robot V1.0,Robot POST,1743789270.4445431,1743789270,12,arrive
LIC Robot V1.0,Robot POST,1743789282.4678714,1743789282,12,depart
LIC Robot V1.0,Robot POST,1743789285.3328443,1743789285,13,arrive
LIC Robot V1.0,Robot POST,1743789297.3721097,1743789297,13,depart
N/A,LIC Trigger POST,1743789299.5480888,1743789298.16,4,N/A,
