POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743799620.9579828,1743799617.78,4,N/A,
N/A,LIC Trigger POST,1743799626.3413498,1743799623.4,4,N/A,
LIC Robot V1.0,Robot POST,1743799637.2044852,1743799637,0,arrive
LIC Robot V1.0,Robot POST,1743799643.3782833,1743799643,0,start_arm
LIC Robot V1.0,Robot POST,1743799658.8114188,1743799659,0,end_arm
LIC Robot V1.0,Robot POST,1743799664.8431718,1743799665,0,depart
LIC Robot V1.0,Robot POST,1743799667.8129458,1743799668,1,arrive
LIC Robot V1.0,Robot POST,1743799673.851467,1743799674,1,start_arm
LIC Robot V1.0,Robot POST,1743799689.5149562,1743799690,1,end_arm
LIC Robot V1.0,Robot POST,1743799695.550846,1743799696,1,depart
LIC Robot V1.0,Robot POST,1743799698.235287,1743799698,2,arrive
LIC Robot V1.0,Robot POST,1743799704.2750812,1743799704,2,start_arm
LIC Robot V1.0,Robot POST,1743799719.5854871,1743799720,2,end_arm
LIC Robot V1.0,Robot POST,1743799725.717474,1743799726,2,depart
LIC Robot V1.0,Robot POST,1743799728.848854,1743799729,3,arrive
LIC Robot V1.0,Robot POST,1743799734.8791642,1743799735,3,start_arm
N/A,LIC Trigger POST,1743799743.8307567,1743799740.76,4,N/A,
N/A,LIC Trigger POST,1743799749.2026844,1743799746.13,4,N/A,
LIC Robot V1.0,Robot POST,1743799750.2089539,1743799750,3,end_arm
LIC Robot V1.0,Robot POST,1743799756.4419682,1743799756,3,depart
N/A,LIC Trigger POST,1743799758.0487146,1743799754.94,4,N/A,
LIC Robot V1.0,Robot POST,1743799759.369361,1743799759,4,arrive
LIC Robot V1.0,Robot POST,1743799765.415686,1743799765,4,start_arm
N/A,LIC Trigger POST,1743799767.1554255,1743799764.02,4,N/A,
N/A,LIC Trigger POST,1743799773.9452384,1743799770.83,4,N/A,
N/A,LIC Trigger POST,1743799779.330413,1743799776.2,4,N/A,
LIC Robot V1.0,Robot POST,1743799780.7371147,1743799781,4,end_arm
LIC Robot V1.0,Robot POST,1743799786.7796278,1743799787,4,depart
N/A,LIC Trigger POST,1743799788.0725236,1743799784.91,4,N/A,
LIC Robot V1.0,Robot POST,1743799789.5566678,1743799790,5,arrive
N/A,LIC Trigger POST,1743799793.4046032,1743799790.31,4,N/A,
LIC Robot V1.0,Robot POST,1743799795.5986307,1743799796,5,start_arm
N/A,LIC Trigger POST,1743799798.8722308,1743799795.67,4,N/A,
N/A,LIC Trigger POST,1743799804.3960886,1743799801.25,4,N/A,
N/A,LIC Trigger POST,1743799809.7635586,1743799806.63,4,N/A,
