POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
LIC Robot V1.0,Robot POST,1743795751.5356743,1743795751,0,arrive
LIC Robot V1.0,Robot POST,1743795757.5737374,1743795758,0,start_arm
LIC Robot V1.0,Robot POST,1743795773.2617106,1743795773,0,end_arm
LIC Robot V1.0,Robot POST,1743795779.3563893,1743795779,0,depart
LIC Robot V1.0,Robot POST,1743795782.4750767,1743795782,1,arrive
LIC Robot V1.0,Robot POST,1743795788.522186,1743795788,1,start_arm
LIC Robot V1.0,Robot POST,1743795803.6284177,1743795804,1,end_arm
LIC Robot V1.0,Robot POST,1743795809.6227243,1743795810,1,depart
LIC Robot V1.0,Robot POST,1743795812.511263,1743795812,2,arrive
LIC Robot V1.0,Robot POST,1743795818.5373306,1743795819,2,start_arm
LIC Robot V1.0,Robot POST,1743795833.8392913,1743795834,2,end_arm
LIC Robot V1.0,Robot POST,1743795839.8782194,1743795840,2,depart
LIC Robot V1.0,Robot POST,1743795842.7999308,1743795843,3,arrive
LIC Robot V1.0,Robot POST,1743795848.8319094,1743795849,3,start_arm
LIC Robot V1.0,Robot POST,1743795864.1432443,1743795864,3,end_arm
LIC Robot V1.0,Robot POST,1743795870.214318,1743795870,3,depart
N/A,LIC Trigger POST,1743795872.2558122,1743795862,4,N/A
LIC Robot V1.0,Robot POST,1743795873.1811526,1743795873,4,arrive
LIC Robot V1.0,Robot POST,1743795879.1969407,1743795879,4,start_arm
N/A,LIC Trigger POST,1743795888.0081623,1743795878,4,N/A
N/A,LIC Trigger POST,1743795893.4091723,1743795884,4,N/A
LIC Robot V1.0,Robot POST,1743795894.5117452,1743795895,4,end_arm
LIC Robot V1.0,Robot POST,1743795900.5466723,1743795901,4,depart
N/A,LIC Trigger POST,1743795902.3462727,1743795892,4,N/A
LIC Robot V1.0,Robot POST,1743795903.432808,1743795903,5,arrive
N/A,LIC Trigger POST,1743795907.6893563,1743795898,4,N/A
LIC Robot V1.0,Robot POST,1743795909.482308,1743795910,5,start_arm
N/A,LIC Trigger POST,1743795913.092336,1743795903,4,N/A
N/A,LIC Trigger POST,1743795918.5119362,1743795909,4,N/A
N/A,LIC Trigger POST,1743795923.8321671,1743795914,4,N/A
LIC Robot V1.0,Robot POST,1743795924.7860873,1743795925,5,end_arm
LIC Robot V1.0,Robot POST,1743795930.8391116,1743795931,5,depart
N/A,LIC Trigger POST,1743795931.907189,1743795922,4,N/A
LIC Robot V1.0,Robot POST,1743795933.8375762,1743795934,6,arrive
N/A,LIC Trigger POST,1743795937.3412445,1743795927,4,N/A
LIC Robot V1.0,Robot POST,1743795939.8708196,1743795940,6,start_arm
N/A,LIC Trigger POST,1743795942.7633421,1743795933,4,N/A
N/A,LIC Trigger POST,1743795948.1306918,1743795938,4,N/A
LIC Robot V1.0,Robot POST,1743795955.186272,1743795955,6,end_arm
LIC Robot V1.0,Robot POST,1743795961.2132108,1743795961,6,depart
LIC Robot V1.0,Robot POST,1743795964.120974,1743795964,7,arrive
LIC Robot V1.0,Robot POST,1743795970.1446574,1743795970,7,start_arm
N/A,LIC Trigger POST,1743795971.511557,1743795962,4,N/A
LIC Robot V1.0,Robot POST,1743795985.4520783,1743795986,7,end_arm
LIC Robot V1.0,Robot POST,1743795991.6330943,1743795992,7,depart
LIC Robot V1.0,Robot POST,1743795994.472845,1743795995,8,arrive
LIC Robot V1.0,Robot POST,1743796000.5400715,1743796001,8,start_arm
LIC Robot V1.0,Robot POST,1743796015.8458564,1743796016,8,end_arm
LIC Robot V1.0,Robot POST,1743796021.8805435,1743796022,8,depart
LIC Robot V1.0,Robot POST,1743796024.6299717,1743796025,9,arrive
LIC Robot V1.0,Robot POST,1743796031.2695453,1743796031,9,start_arm
LIC Robot V1.0,Robot POST,1743796047.0002034,1743796047,9,end_arm
LIC Robot V1.0,Robot POST,1743796053.3825781,1743796053,9,depart
LIC Robot V1.0,Robot POST,1743796056.286279,1743796056,10,arrive
LIC Robot V1.0,Robot POST,1743796062.3224292,1743796062,10,start_arm
LIC Robot V1.0,Robot POST,1743796077.6518393,1743796078,10,end_arm
LIC Robot V1.0,Robot POST,1743796083.6938698,1743796084,10,depart
LIC Robot V1.0,Robot POST,1743796086.3282495,1743796086,R,arrive
LIC Robot V1.0,Robot POST,1743796101.1732707,1743796101,R,depart
LIC Robot V1.0,Robot POST,1743796106.3799567,1743796106,R,arrive
LIC Robot V1.0,Robot POST,1743796121.4274275,1743796121,R,depart
LIC Robot V1.0,Robot POST,1743796124.275307,1743796124,11,arrive
LIC Robot V1.0,Robot POST,1743796130.2931345,1743796130,11,start_arm
LIC Robot V1.0,Robot POST,1743796145.615828,1743796146,11,end_arm
LIC Robot V1.0,Robot POST,1743796151.6919656,1743796152,11,depart
LIC Robot V1.0,Robot POST,1743796154.4268534,1743796154,12,arrive
LIC Robot V1.0,Robot POST,1743796160.4666774,1743796161,12,start_arm
LIC Robot V1.0,Robot POST,1743796175.778055,1743796176,12,end_arm
LIC Robot V1.0,Robot POST,1743796181.7961712,1743796182,12,depart
LIC Robot V1.0,Robot POST,1743796184.6114857,1743796185,13,arrive
LIC Robot V1.0,Robot POST,1743796190.641516,1743796191,13,start_arm
LIC Robot V1.0,Robot POST,1743796205.9776216,1743796206,13,end_arm
LIC Robot V1.0,Robot POST,1743796212.0048194,1743796212,13,depart
N/A,LIC Trigger POST,1743796214.156223,1743796204,4,N/A
LIC Robot V1.0,Robot POST,1743796214.7483394,1743796215,14,arrive
LIC Robot V1.0,Robot POST,1743796220.7787957,1743796221,14,start_arm
N/A,LIC Trigger POST,1743796221.7201006,1743796211,4,N/A
N/A,LIC Trigger POST,1743796227.0875454,1743796217,4,N/A
N/A,LIC Trigger POST,1743796232.483954,1743796222,4,N/A
LIC Robot V1.0,Robot POST,1743796236.2683277,1743796236,14,end_arm
LIC Robot V1.0,Robot POST,1743796242.3132238,1743796242,14,depart
N/A,LIC Trigger POST,1743796243.431221,1743796233,4,N/A
LIC Robot V1.0,Robot POST,1743796245.0813758,1743796245,15,arrive
LIC Robot V1.0,Robot POST,1743796251.855126,1743796251,15,start_arm
N/A,LIC Trigger POST,1743796253.4203613,1743796243,4,N/A
N/A,LIC Trigger POST,1743796258.7945595,1743796249,4,N/A
N/A,LIC Trigger POST,1743796264.1905062,1743796254,4,N/A
LIC Robot V1.0,Robot POST,1743796267.8821542,1743796268,15,end_arm
LIC Robot V1.0,Robot POST,1743796273.9032612,1743796274,15,depart
N/A,LIC Trigger POST,1743796275.019348,1743796265,4,N/A
LIC Robot V1.0,Robot POST,1743796276.5236385,1743796277,16,arrive
LIC Robot V1.0,Robot POST,1743796283.4867318,1743796284,16,start_arm
N/A,LIC Trigger POST,1743796284.5572405,1743796274,4,N/A
N/A,LIC Trigger POST,1743796292.1218069,1743796282,4,N/A
N/A,LIC Trigger POST,1743796297.4934702,1743796287,4,N/A
LIC Robot V1.0,Robot POST,1743796298.8017535,1743796299,16,end_arm
LIC Robot V1.0,Robot POST,1743796305.5936515,1743796306,16,depart
N/A,LIC Trigger POST,1743796306.5562437,1743796296,4,N/A
LIC Robot V1.0,Robot POST,1743796308.3155527,1743796308,17,arrive
