POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743110858.4235916,1743110848,5,N/A
N/A,LIC Trigger POST,1743110867.1282322,1743110857,5,N/A
N/A,LIC Trigger POST,1743110872.7444444,1743110863,5,N/A
N/A,LIC Trigger POST,1743110880.1299438,1743110870,5,N/A
N/A,LIC Trigger POST,1743110885.6613357,1743110876,5,N/A
LIC Robot V1.0,Robot POST,1743110902.6590564,1743110903,1,arrive
LIC Robot V1.0,Robot POST,1743110915.2584639,1743110915,1,depart
LIC Robot V1.0,Robot POST,1743110918.9408135,1743110919,2,arrive
LIC Robot V1.0,Robot POST,1743110931.5384834,1743110932,2,depart
N/A,LIC Trigger POST,1743110933.993611,1743110924,5,N/A
LIC Robot V1.0,Robot POST,1743110935.5347526,1743110935,3,arrive
LIC Robot V1.0,Robot POST,1743110947.8208392,1743110948,3,depart
N/A,LIC Trigger POST,1743110949.1498885,1743110939,5,N/A
LIC Robot V1.0,Robot POST,1743110951.8147075,1743110952,4,arrive
LIC Robot V1.0,Robot POST,1743110964.3324492,1743110964,4,depart
N/A,LIC Trigger POST,1743110965.3075428,1743110955,5,N/A
LIC Robot V1.0,Robot POST,1743110967.690567,1743110968,5,arrive
N/A,LIC Trigger POST,1743110970.8516335,1743110961,5,N/A
LIC Robot V1.0,Robot POST,1743110979.9882402,1743110980,5,depart
N/A,LIC Trigger POST,1743110980.7665935,1743110971,5,N/A
LIC Robot V1.0,Robot POST,1743110983.758553,1743110983,6,arrive
LIC Robot V1.0,Robot POST,1743110996.046061,1743110996,6,depart
N/A,LIC Trigger POST,1743110996.8647645,1743110987,5,N/A
LIC Robot V1.0,Robot POST,1743110999.2155282,1743110999,7,arrive
LIC Robot V1.0,Robot POST,1743111011.422611,1743111012,7,depart
LIC Robot V1.0,Robot POST,1743111014.4049702,1743111015,8,arrive
LIC Robot V1.0,Robot POST,1743111027.079595,1743111027,8,depart
LIC Robot V1.0,Robot POST,1743111031.0690951,1743111031,9,arrive
LIC Robot V1.0,Robot POST,1743111043.4681444,1743111044,9,depart
LIC Robot V1.0,Robot POST,1743111046.6440396,1743111047,10,arrive
LIC Robot V1.0,Robot POST,1743111058.682414,1743111059,10,depart
LIC Robot V1.0,Robot POST,1743111061.8079367,1743111062,R,arrive
LIC Robot V1.0,Robot POST,1743111077.8755403,1743111078,R,depart
LIC Robot V1.0,Robot POST,1743111083.8940618,1743111084,R,arrive
LIC Robot V1.0,Robot POST,1743111100.0033488,1743111100,R,depart
LIC Robot V1.0,Robot POST,1743111103.057302,1743111103,11,arrive
LIC Robot V1.0,Robot POST,1743111115.1657732,1743111115,11,depart
LIC Robot V1.0,Robot POST,1743111118.117158,1743111118,12,arrive
LIC Robot V1.0,Robot POST,1743111130.5087702,1743111130,12,depart
N/A,LIC Trigger POST,1743111132.9474788,1743111122,5,N/A
LIC Robot V1.0,Robot POST,1743111133.4806752,1743111134,13,arrive
LIC Robot V1.0,Robot POST,1743111145.6497126,1743111146,13,depart
N/A,LIC Trigger POST,1743111146.985214,1743111137,5,N/A
LIC Robot V1.0,Robot POST,1743111148.7225285,1743111149,14,arrive
LIC Robot V1.0,Robot POST,1743111161.2202413,1743111161,14,depart
N/A,LIC Trigger POST,1743111162.145093,1743111152,5,N/A
LIC Robot V1.0,Robot POST,1743111164.1995227,1743111164,15,arrive
