POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1743106628.0508547,1743106622.57,5,N/A,
N/A,LIC Trigger POST,1743106633.63266,1743106628.03,5,N/A,
N/A,LIC Trigger POST,1743106639.0941846,1743106633.57,5,N/A,
N/A,LIC Trigger POST,1743106644.427437,1743106638.98,5,N/A,
N/A,LIC Trigger POST,1743106649.7724848,1743106644.31,5,N/A,
N/A,LIC Trigger POST,1743106656.4576461,1743106650.6,5,N/A,
N/A,LIC Trigger POST,1743106661.8452394,1743106656.42,5,N/A,
N/A,LIC Trigger POST,1743106667.4221263,1743106661.75,5,N/A,
N/A,LIC Trigger POST,1743106673.2642736,1743106667.39,5,N/A,
N/A,LIC Trigger POST,1743106678.9980328,1743106673.23,5,N/A,
LIC Robot V1.0,Robot POST,1743106698.8723645,1743106699,1,arrive
LIC Robot V1.0,Robot POST,1743106711.1520464,1743106711,1,depart
LIC Robot V1.0,Robot POST,1743106714.434452,1743106715,2,arrive
LIC Robot V1.0,Robot POST,1743106726.4619694,1743106727,2,depart
LIC Robot V1.0,Robot POST,1743106729.6654866,1743106730,3,arrive
LIC Robot V1.0,Robot POST,1743106742.4875891,1743106742,3,depart
LIC Robot V1.0,Robot POST,1743106746.072914,1743106746,4,arrive
LIC Robot V1.0,Robot POST,1743106758.5709705,1743106759,4,depart
LIC Robot V1.0,Robot POST,1743106762.0717533,1743106762,5,arrive
LIC Robot V1.0,Robot POST,1743106774.4409094,1743106774,5,depart
LIC Robot V1.0,Robot POST,1743106778.1311014,1743106778,6,arrive
LIC Robot V1.0,Robot POST,1743106790.7196043,1743106791,6,depart
LIC Robot V1.0,Robot POST,1743106794.7086506,1743106794,7,arrive
LIC Robot V1.0,Robot POST,1743106807.2955475,1743106807,7,depart
LIC Robot V1.0,Robot POST,1743106810.491687,1743106811,8,arrive
LIC Robot V1.0,Robot POST,1743106822.66585,1743106823,8,depart
LIC Robot V1.0,Robot POST,1743106826.0475223,1743106826,9,arrive
LIC Robot V1.0,Robot POST,1743106841.2367227,1743106839,9,depart
LIC Robot V1.0,Robot POST,1743106844.228093,1743106845,10,arrive
LIC Robot V1.0,Robot POST,1743106856.2595983,1743106857,10,depart
LIC Robot V1.0,Robot POST,1743106859.4278862,1743106860,R,arrive
LIC Robot V1.0,Robot POST,1743106875.4509187,1743106876,R,depart
LIC Robot V1.0,Robot POST,1743106881.6498477,1743106882,R,arrive
LIC Robot V1.0,Robot POST,1743106897.3252285,1743106898,R,depart
LIC Robot V1.0,Robot POST,1743106900.5329518,1743106901,11,arrive
LIC Robot V1.0,Robot POST,1743106912.6639013,1743106913,11,depart
LIC Robot V1.0,Robot POST,1743106915.4891224,1743106916,12,arrive
LIC Robot V1.0,Robot POST,1743106927.5333602,1743106928,12,depart
N/A,LIC Trigger POST,1743106930.0412064,1743106924.17,5,N/A,
LIC Robot V1.0,Robot POST,1743106930.3885026,1743106931,13,arrive
LIC Robot V1.0,Robot POST,1743106942.783233,1743106943,13,depart
N/A,LIC Trigger POST,1743106944.0013828,1743106938.22,5,N/A,
LIC Robot V1.0,Robot POST,1743106945.8503263,1743106946,14,arrive
LIC Robot V1.0,Robot POST,1743106958.06738,1743106958,14,depart
N/A,LIC Trigger POST,1743106959.9274049,1743106952.99,5,N/A,
LIC Robot V1.0,Robot POST,1743106961.0120265,1743106961,15,arrive
LIC Robot V1.0,Robot POST,1743106973.198131,1743106973,15,depart
N/A,LIC Trigger POST,1743106974.4249616,1743106968.42,5,N/A,
LIC Robot V1.0,Robot POST,1743106976.2754505,1743106976,16,arrive
LIC Robot V1.0,Robot POST,1743106988.3147178,1743106989,16,depart
N/A,LIC Trigger POST,1743106989.1713288,1743106983.23,5,N/A,
LIC Robot V1.0,Robot POST,1743106991.1235833,1743106991,17,arrive
LIC Robot V1.0,Robot POST,1743107003.174973,1743107003,17,depart
LIC Robot V1.0,Robot POST,1743107006.451988,1743107007,18,arrive
LIC Robot V1.0,Robot POST,1743107018.6657205,1743107019,18,depart
LIC Robot V1.0,Robot POST,1743107022.2802315,1743107022,19,arrive
LIC Robot V1.0,Robot POST,1743107034.6166618,1743107035,19,depart
LIC Robot V1.0,Robot POST,1743107037.3661578,1743107038,20,arrive
LIC Robot V1.0,Robot POST,1743107049.4042442,1743107050,20,depart
LIC Robot V1.0,Robot POST,1743107051.996651,1743107052,L,arrive
LIC Robot V1.0,Robot POST,1743107068.0356867,1743107068,L,depart
LIC Robot V1.0,Robot POST,1743107073.0698898,1743107073,L,arrive
LIC Robot V1.0,Robot POST,1743107088.4074013,1743107089,L,depart
LIC Robot V1.0,Robot POST,1743107091.0671473,1743107091,21,arrive
LIC Robot V1.0,Robot POST,1743107103.1547024,1743107103,21,depart
LIC Robot V1.0,Robot POST,1743107106.3213594,1743107106,22,arrive
LIC Robot V1.0,Robot POST,1743107118.366792,1743107119,22,depart
LIC Robot V1.0,Robot POST,1743107121.3342092,1743107121,23,arrive
LIC Robot V1.0,Robot POST,1743107133.5574758,1743107134,23,depart
N/A,LIC Trigger POST,1743107135.6168149,1743107129.69,5,N/A,
LIC Robot V1.0,Robot POST,1743107136.7001584,1743107137,24,arrive
LIC Robot V1.0,Robot POST,1743107148.8189356,1743107149,24,depart
N/A,LIC Trigger POST,1743107149.8363063,1743107143.71,5,N/A,
LIC Robot V1.0,Robot POST,1743107151.8924012,1743107152,25,arrive
LIC Robot V1.0,Robot POST,1743107163.903088,1743107164,25,depart
N/A,LIC Trigger POST,1743107164.7860746,1743107158.75,5,N/A,
LIC Robot V1.0,Robot POST,1743107166.772877,1743107167,26,arrive
LIC Robot V1.0,Robot POST,1743107178.8612611,1743107179,26,depart
N/A,LIC Trigger POST,1743107180.2543492,1743107174.22,5,N/A,
LIC Robot V1.0,Robot POST,1743107181.8997302,1743107182,27,arrive
LIC Robot V1.0,Robot POST,1743107193.9336522,1743107194,27,depart
LIC Robot V1.0,Robot POST,1743107196.6420166,1743107197,28,arrive
LIC Robot V1.0,Robot POST,1743107208.7190099,1743107209,28,depart
LIC Robot V1.0,Robot POST,1743107211.7010715,1743107212,29,arrive
LIC Robot V1.0,Robot POST,1743107223.7455144,1743107224,29,depart
LIC Robot V1.0,Robot POST,1743107227.496961,1743107227,30,arrive
LIC Robot V1.0,Robot POST,1743107240.4669256,1743107240,30,depart
LIC Robot V1.0,Robot POST,1743107243.301973,1743107244,R,arrive
LIC Robot V1.0,Robot POST,1743107258.9708693,1743107259,R,depart
LIC Robot V1.0,Robot POST,1743107264.3214931,1743107265,R,arrive
LIC Robot V1.0,Robot POST,1743107279.9874954,1743107280,R,depart
LIC Robot V1.0,Robot POST,1743107283.104668,1743107283,31,arrive
LIC Robot V1.0,Robot POST,1743107295.763591,1743107295,31,depart
LIC Robot V1.0,Robot POST,1743107298.8364654,1743107299,32,arrive
LIC Robot V1.0,Robot POST,1743107310.920722,1743107311,32,depart
LIC Robot V1.0,Robot POST,1743107313.8883355,1743107314,33,arrive
LIC Robot V1.0,Robot POST,1743107326.06261,1743107326,33,depart
LIC Robot V1.0,Robot POST,1743107329.0378125,1743107329,34,arrive
LIC Robot V1.0,Robot POST,1743107341.44008,1743107341,34,depart
LIC Robot V1.0,Robot POST,1743107344.6009219,1743107345,35,arrive
LIC Robot V1.0,Robot POST,1743107356.8888967,1743107357,35,depart
LIC Robot V1.0,Robot POST,1743107360.3760138,1743107360,36,arrive
LIC Robot V1.0,Robot POST,1743107372.4682927,1743107373,36,depart
N/A,LIC Trigger POST,1743107375.1203108,1743107368.72,5,N/A,
LIC Robot V1.0,Robot POST,1743107375.428882,1743107376,37,arrive
LIC Robot V1.0,Robot POST,1743107387.619903,1743107388,37,depart
LIC Robot V1.0,Robot POST,1743107390.63216,1743107391,38,arrive
LIC Robot V1.0,Robot POST,1743107402.987321,1743107403,38,depart
LIC Robot V1.0,Robot POST,1743107405.9528916,1743107406,39,arrive
LIC Robot V1.0,Robot POST,1743107417.9842205,1743107418,39,depart
LIC Robot V1.0,Robot POST,1743107420.8518894,1743107421,40,arrive
LIC Robot V1.0,Robot POST,1743107432.8845475,1743107433,40,depart
LIC Robot V1.0,Robot POST,1743107435.5460339,1743107436,L,arrive
LIC Robot V1.0,Robot POST,1743107451.595811,1743107452,L,depart
LIC Robot V1.0,Robot POST,1743107456.3854,1743107457,L,arrive
LIC Robot V1.0,Robot POST,1743107472.39638,1743107472,L,depart
LIC Robot V1.0,Robot POST,1743107475.4696307,1743107476,41,arrive
LIC Robot V1.0,Robot POST,1743107487.7719908,1743107488,41,depart
LIC Robot V1.0,Robot POST,1743107491.0488868,1743107491,42,arrive
LIC Robot V1.0,Robot POST,1743107503.5322783,1743107504,42,depart
LIC Robot V1.0,Robot POST,1743107506.7133207,1743107507,43,arrive
LIC Robot V1.0,Robot POST,1743107518.734867,1743107519,43,depart
LIC Robot V1.0,Robot POST,1743107521.8169012,1743107522,44,arrive
LIC Robot V1.0,Robot POST,1743107534.1766706,1743107534,44,depart
LIC Robot V1.0,Robot POST,1743107537.2326784,1743107537,45,arrive
LIC Robot V1.0,Robot POST,1743107549.2527235,1743107550,45,depart
LIC Robot V1.0,Robot POST,1743107552.189216,1743107552,46,arrive
LIC Robot V1.0,Robot POST,1743107564.5680518,1743107565,46,depart
LIC Robot V1.0,Robot POST,1743107567.4530435,1743107568,47,arrive
LIC Robot V1.0,Robot POST,1743107579.924106,1743107580,47,depart
LIC Robot V1.0,Robot POST,1743107582.7975202,1743107583,48,arrive
LIC Robot V1.0,Robot POST,1743107594.892865,1743107595,48,depart
LIC Robot V1.0,Robot POST,1743107598.1673632,1743107598,49,arrive
LIC Robot V1.0,Robot POST,1743107610.193872,1743107610,49,depart
LIC Robot V1.0,Robot POST,1743107613.719631,1743107614,S,arrive
