POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,Descriptor
N/A,LIC Trigger POST,1740166087.306221,1740166000.97,5,N/A,
LIC Robot V1.0,Robot POST,1740166110.040011,1740166110,0,arrive
LIC Robot V1.0,Robot POST,1740166116.2845485,1740166116,0,start_arm
LIC Robot V1.0,Robot POST,1740166132.1614609,1740166132,0,end_arm
LIC Robot V1.0,Robot POST,1740166138.5032394,1740166138,0,depart
LIC Robot V1.0,Robot POST,1740166142.1996002,1740166142,1,arrive
LIC Robot V1.0,Robot POST,1740166148.6433194,1740166148,1,start_arm
LIC Robot V1.0,Robot POST,1740166164.1010644,1740166164,1,end_arm
LIC Robot V1.0,Robot POST,1740166170.46085,1740166170,1,depart
LIC Robot V1.0,Robot POST,1740166173.7214918,1740166173,2,arrive
LIC Robot V1.0,Robot POST,1740166180.599352,1740166180,2,start_arm
N/A,LIC Trigger POST,1740166182.4390848,1740166097.43,5,N/A,
LIC Robot V1.0,Robot POST,1740166196.2648385,1740166196,2,end_arm
LIC Robot V1.0,Robot POST,1740166202.716956,1740166202,2,depart
LIC Robot V1.0,Robot POST,1740166205.8928902,1740166206,3,arrive
LIC Robot V1.0,Robot POST,1740166212.2408614,1740166212,3,start_arm
LIC Robot V1.0,Robot POST,1740166228.2141309,1740166228,3,end_arm
LIC Robot V1.0,Robot POST,1740166234.9630592,1740166234,3,depart
N/A,LIC Trigger POST,1740166238.1427336,1740166152.71,5,N/A,
LIC Robot V1.0,Robot POST,1740166238.6489327,1740166238,4,arrive
LIC Robot V1.0,Robot POST,1740166245.3084729,1740166245,4,start_arm
N/A,LIC Trigger POST,1740166246.439543,1740166161.35,5,N/A,
N/A,LIC Trigger POST,1740166254.1071758,1740166168.99,5,N/A,
LIC Robot V1.0,Robot POST,1740166260.6838467,1740166261,4,end_arm
LIC Robot V1.0,Robot POST,1740166267.2239695,1740166267,4,depart
N/A,LIC Trigger POST,1740166268.6488793,1740166183.76,5,N/A,
LIC Robot V1.0,Robot POST,1740166270.2071428,1740166270,5,arrive
LIC Robot V1.0,Robot POST,1740166276.5275388,1740166276,5,start_arm
N/A,LIC Trigger POST,1740166277.233647,1740166192.47,5,N/A,
N/A,LIC Trigger POST,1740166282.8953795,1740166197.79,5,N/A,
N/A,LIC Trigger POST,1740166289.7571106,1740166204.02,5,N/A,
LIC Robot V1.0,Robot POST,1740166291.9160736,1740166292,5,end_arm
LIC Robot V1.0,Robot POST,1740166298.2086806,1740166298,5,depart
N/A,LIC Trigger POST,1740166299.6883948,1740166214.23,5,N/A,
LIC Robot V1.0,Robot POST,1740166301.2341897,1740166301,6,arrive
LIC Robot V1.0,Robot POST,1740166307.778607,1740166307,6,start_arm
N/A,LIC Trigger POST,1740166309.415996,1740166224.46,5,N/A,
N/A,LIC Trigger POST,1740166316.9945502,1740166231.55,5,N/A,
LIC Robot V1.0,Robot POST,1740166323.389673,1740166323,6,end_arm
LIC Robot V1.0,Robot POST,1740166329.4845088,1740166329,6,depart
N/A,LIC Trigger POST,1740166330.364822,1740166245.55,5,N/A,
LIC Robot V1.0,Robot POST,1740166332.523375,1740166332,7,arrive
LIC Robot V1.0,Robot POST,1740166338.6034908,1740166338,7,start_arm
LIC Robot V1.0,Robot POST,1740166354.1557846,1740166354,7,end_arm
LIC Robot V1.0,Robot POST,1740166360.9251795,1740166360,7,depart
LIC Robot V1.0,Robot POST,1740166363.9298646,1740166364,8,arrive
LIC Robot V1.0,Robot POST,1740166370.3365097,1740166370,8,start_arm
LIC Robot V1.0,Robot POST,1740166386.1063054,1740166386,8,end_arm
LIC Robot V1.0,Robot POST,1740166392.559227,1740166392,8,depart
LIC Robot V1.0,Robot POST,1740166395.8557916,1740166396,9,arrive
LIC Robot V1.0,Robot POST,1740166437.7239163,1740166435,9,end_arm
LIC Robot V1.0,Robot POST,1740166443.9954524,1740166444,9,depart
LIC Robot V1.0,Robot POST,1740166447.2587397,1740166447,10,arrive
LIC Robot V1.0,Robot POST,1740166453.49654,1740166453,10,start_arm
LIC Robot V1.0,Robot POST,1740166468.864416,1740166469,10,end_arm
LIC Robot V1.0,Robot POST,1740166475.1131022,1740166475,10,depart
LIC Robot V1.0,Robot POST,1740166478.0693343,1740166478,R,arrive
LIC Robot V1.0,Robot POST,1740166493.1487005,1740166493,R,depart
LIC Robot V1.0,Robot POST,1740166498.824092,1740166499,R,arrive
LIC Robot V1.0,Robot POST,1740166514.5117998,1740166514,R,depart
LIC Robot V1.0,Robot POST,1740166517.904535,1740166518,11,arrive
LIC Robot V1.0,Robot POST,1740166524.6666274,1740166524,11,start_arm
LIC Robot V1.0,Robot POST,1740166540.8351116,1740166540,11,end_arm
LIC Robot V1.0,Robot POST,1740166547.6990113,1740166547,11,depart
LIC Robot V1.0,Robot POST,1740166550.9362388,1740166551,12,arrive
LIC Robot V1.0,Robot POST,1740166557.2245584,1740166557,12,start_arm
LIC Robot V1.0,Robot POST,1740166572.895863,1740166573,12,end_arm
LIC Robot V1.0,Robot POST,1740166579.334542,1740166579,12,depart
LIC Robot V1.0,Robot POST,1740166582.3277905,1740166582,13,arrive
LIC Robot V1.0,Robot POST,1740166588.8723085,1740166588,13,start_arm
LIC Robot V1.0,Robot POST,1740166604.3643856,1740166604,13,end_arm
LIC Robot V1.0,Robot POST,1740166610.9807928,1740166611,13,depart
LIC Robot V1.0,Robot POST,1740166614.355364,1740166614,14,arrive
N/A,LIC Trigger POST,1740166614.765699,1740166528.87,5,N/A,
LIC Robot V1.0,Robot POST,1740166621.1310148,1740166620,14,start_arm
N/A,LIC Trigger POST,1740166622.7599504,1740166536.94,5,N/A,
N/A,LIC Trigger POST,1740166630.5473387,1740166544.52,5,N/A,
LIC Robot V1.0,Robot POST,1740166637.0915458,1740166636,14,end_arm
LIC Robot V1.0,Robot POST,1740166643.855204,1740166643,14,depart
N/A,LIC Trigger POST,1740166645.699847,1740166560.08,5,N/A,
LIC Robot V1.0,Robot POST,1740166647.0304034,1740166647,15,arrive
LIC Robot V1.0,Robot POST,1740166653.0767322,1740166653,15,start_arm
N/A,LIC Trigger POST,1740166661.5747821,1740166576.15,5,N/A,
LIC Robot V1.0,Robot POST,1740166668.646307,1740166668,15,end_arm
LIC Robot V1.0,Robot POST,1740166707.8590393,1740166675,15,depart
N/A,LIC Trigger POST,1740166709.700431,1740166623.45,5,N/A,
LIC Robot V1.0,Robot POST,1740166711.2302096,1740166711,16,arrive
LIC Robot V1.0,Robot POST,1740166717.55011,1740166717,16,start_arm
N/A,LIC Trigger POST,1740166719.6331654,1740166633.73,5,N/A,
N/A,LIC Trigger POST,1740166726.3846817,1740166640.93,5,N/A,
LIC Robot V1.0,Robot POST,1740166733.6657298,1740166733,16,end_arm
LIC Robot V1.0,Robot POST,1740166740.7321932,1740166740,16,depart
N/A,LIC Trigger POST,1740166742.371045,1740166656.48,5,N/A,
LIC Robot V1.0,Robot POST,1740166743.8062656,1740166744,17,arrive
LIC Robot V1.0,Robot POST,1740166750.262163,1740166750,17,start_arm
LIC Robot V1.0,Robot POST,1740166766.7352087,1740166766,17,end_arm
LIC Robot V1.0,Robot POST,1740166773.290329,1740166773,17,depart
LIC Robot V1.0,Robot POST,1740166776.3806114,1740166776,18,arrive
LIC Robot V1.0,Robot POST,1740166782.5263233,1740166782,18,start_arm
LIC Robot V1.0,Robot POST,1740166798.6877213,1740166798,18,end_arm
LIC Robot V1.0,Robot POST,1740166805.245752,1740166805,18,depart
LIC Robot V1.0,Robot POST,1740166808.2249303,1740166808,19,arrive
LIC Robot V1.0,Robot POST,1740166814.454258,1740166814,19,start_arm
LIC Robot V1.0,Robot POST,1740166829.9260325,1740166830,19,end_arm
LIC Robot V1.0,Robot POST,1740166836.2354763,1740166836,19,depart
LIC Robot V1.0,Robot POST,1740166839.029417,1740166839,20,arrive
LIC Robot V1.0,Robot POST,1740166876.7446046,1740166845,20,start_arm
LIC Robot V1.0,Robot POST,1740166893.0061576,1740166892,20,end_arm
LIC Robot V1.0,Robot POST,1740166899.2268078,1740166899,20,depart
LIC Robot V1.0,Robot POST,1740166901.7025275,1740166902,L,arrive
